"Status","Year","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Education (excl. agencies)","G6","715","690","64960","64530"
"In post","2021","Department for Education (excl. agencies)","G7","1415","1360","52760","53420"
"In post","2021","Department for Education (excl. agencies)","HEO","1160","1130","31820","30310"
"In post","2021","Department for Education (excl. agencies)","SCS level","235","225","83420","74380"
"In post","2021","Department for Education (excl. agencies)","SEO","1350","1300","39500","38140"
"In post","2021","Department for Education (excl. agencies)","Unknown","10","10","38540","38180"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","170","155","22650","21050"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","510","495","26750","25960"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","G6","480","465","62560","62380"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","G7","1370","1325","51750","52290"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","1325","1280","31650","32160"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","210","205","83580","76760"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO","1340","1285","38450","37640"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AO","35","35","24940","25140"
"In post","2021","Department for International Trade","EO","255","250","27360","26510"
"In post","2021","Department for International Trade","G6","295","290","63390","62170"
"In post","2021","Department for International Trade","G7","780","775","52430","51970"
"In post","2021","Department for International Trade","HEO","630","625","32290","32120"
"In post","2021","Department for International Trade","SCS level","175","175","86280","76730"
"In post","2021","Department for International Trade","SEO","520","515","39060","38540"
"In post","2021","Department for Transport (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","AO","150","130","28270","25730"
"In post","2021","Department for Transport (excl. agencies)","EO","395","385","28740","30270"
"In post","2021","Department for Transport (excl. agencies)","G6","385","375","67850","66230"
"In post","2021","Department for Transport (excl. agencies)","G7","910","890","56560","54760"
"In post","2021","Department for Transport (excl. agencies)","HEO","795","780","34500","35060"
"In post","2021","Department for Transport (excl. agencies)","SCS level","210","200","88170","79910"
"In post","2021","Department for Transport (excl. agencies)","SEO","670","660","43020","42890"
"In post","2021","Department for Work and Pensions (excl. agencies)","AA","290","240","20160","20230"
"In post","2021","Department for Work and Pensions (excl. agencies)","AO","29025","24865","21180","21010"
"In post","2021","Department for Work and Pensions (excl. agencies)","EO","48575","43955","28120","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","G6","775","750","66400","66250"
"In post","2021","Department for Work and Pensions (excl. agencies)","G7","1990","1905","52920","52150"
"In post","2021","Department for Work and Pensions (excl. agencies)","HEO","7210","6765","33550","32470"
"In post","2021","Department for Work and Pensions (excl. agencies)","SCS level","240","235","89740","80670"
"In post","2021","Department for Work and Pensions (excl. agencies)","SEO","2845","2705","38000","37000"
"In post","2021","Department of Health and Social Care (excl. agencies)","AO","35","35","22200","22920"
"In post","2021","Department of Health and Social Care (excl. agencies)","EO","435","425","26810","27270"
"In post","2021","Department of Health and Social Care (excl. agencies)","G6","445","430","66450","66230"
"In post","2021","Department of Health and Social Care (excl. agencies)","G7","905","880","53170","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","HEO","840","825","32030","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","SCS level","270","265","87780","77940"
"In post","2021","Department of Health and Social Care (excl. agencies)","SEO","590","575","39850","40650"
"In post","2021","Disclosure Scotland","AA","155","145","21470","22230"
"In post","2021","Disclosure Scotland","AO","30","25","24570","24910"
"In post","2021","Disclosure Scotland","EO","60","55","29370","29190"
"In post","2021","Disclosure Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","G7","10","10","54310","52930"
"In post","2021","Disclosure Scotland","HEO","30","25","34260","35110"
"In post","2021","Disclosure Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","SEO","25","20","44790","46600"
"In post","2021","Driver and Vehicle Licensing Agency","AA","1295","1015","18380","18060"
"In post","2021","Driver and Vehicle Licensing Agency","AO","2795","2445","21690","21590"
"In post","2021","Driver and Vehicle Licensing Agency","EO","900","840","26710","26700"
"In post","2021","Driver and Vehicle Licensing Agency","G6","90","85","79300","83320"
"In post","2021","Driver and Vehicle Licensing Agency","G7","190","190","57400","55320"
"In post","2021","Driver and Vehicle Licensing Agency","HEO","525","505","32620","31920"
"In post","2021","Driver and Vehicle Licensing Agency","SCS level","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","SEO","425","410","42790","41140"
"In post","2021","Driver and Vehicle Standards Agency","AA","15","15","18060","18060"
"In post","2021","Driver and Vehicle Standards Agency","AO","1105","1035","24600","23990"
"In post","2021","Driver and Vehicle Standards Agency","EO","2590","2415","28280","26780"
"In post","2021","Driver and Vehicle Standards Agency","G6","20","20","65880","64360"
"In post","2021","Driver and Vehicle Standards Agency","G7","100","100","52780","51800"
"In post","2021","Driver and Vehicle Standards Agency","HEO","655","635","33170","32320"
"In post","2021","Driver and Vehicle Standards Agency","SCS level","10","10","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","SEO","295","285","41450","41090"
"In post","2021","Education and Skills Funding Agency","AO","25","25","21310","21000"
"In post","2021","Education and Skills Funding Agency","EO","175","165","25990","26000"
"In post","2021","Education and Skills Funding Agency","G6","165","160","64910","64180"
"In post","2021","Education and Skills Funding Agency","G7","425","415","51720","50630"
"In post","2021","Education and Skills Funding Agency","HEO","470","450","30970","30200"
"In post","2021","Education and Skills Funding Agency","SCS level","50","50","86150","78000"
"In post","2021","Education and Skills Funding Agency","SEO","510","495","38400","37100"
"In post","2021","Education Scotland","AA","35","30","21630","22230"
"In post","2021","Education Scotland","AO","5","5","[c]","[c]"
"In post","2021","Education Scotland","EO","10","10","28480","29190"
"In post","2021","Education Scotland","G6","150","140","72540","75940"
"In post","2021","Education Scotland","G7","45","40","54300","52480"
"In post","2021","Education Scotland","HEO","15","15","33660","34370"
"In post","2021","Education Scotland","SCS level","5","5","[c]","[c]"
"In post","2021","Education Scotland","SEO","50","45","44340","46600"
"In post","2021","ESTYN","AO","10","10","23500","23830"
"In post","2021","ESTYN","EO","25","20","28240","28850"
"In post","2021","ESTYN","G6","65","60","74490","74730"
"In post","2021","ESTYN","G7","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","HEO","5","5","[c]","[c]"
"In post","2021","ESTYN","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","AO","135","130","24910","23280"
"In post","2021","FCDO Services","EO","215","210","28300","26950"
"In post","2021","FCDO Services","G6","40","40","77220","73410"
"In post","2021","FCDO Services","G7","180","160","58910","57760"
"In post","2021","FCDO Services","HEO","215","205","35630","34640"
"In post","2021","FCDO Services","SCS level","5","5","[c]","[c]"
"In post","2021","FCDO Services","SEO","240","235","44700","43590"
"In post","2021","FCDO Services","Unknown","45","45","22640","21600"
"In post","2021","Food Standards Agency","AO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","EO","435","415","27280","26750"
"In post","2021","Food Standards Agency","G6","45","45","64750","62370"
"In post","2021","Food Standards Agency","G7","175","170","54220","53790"
"In post","2021","Food Standards Agency","HEO","295","290","31890","30810"
"In post","2021","Food Standards Agency","SCS level","20","20","87140","79230"
"In post","2021","Food Standards Agency","SEO","325","320","39730","39300"
"In post","2021","Food Standards Scotland","AA","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","AO","10","10","[c]","[c]"
"In post","2021","Food Standards Scotland","EO","80","80","28600","29190"
"In post","2021","Food Standards Scotland","G6","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","G7","10","10","49250","48930"
"In post","2021","Food Standards Scotland","HEO","80","80","32400","32140"
"In post","2021","Food Standards Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","SEO","50","45","43270","46600"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","AO","440","425","25820","25430"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","EO","730","710","29920","30300"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","G6","1040","1020","67160","67230"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","G7","2000","1960","55330","55510"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","1975","1950","35700","34770"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","550","545","86110","78010"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","735","720","42580","42600"
"In post","2021","Forestry and Land Scotland","AA","35","35","19130","19160"
"In post","2021","Forestry and Land Scotland","AO","440","420","25390","25140"
"In post","2021","Forestry and Land Scotland","EO","260","250","31440","30160"
"In post","2021","Forestry and Land Scotland","G6","10","10","69690","69690"
"In post","2021","Forestry and Land Scotland","G7","25","25","56010","56800"
"In post","2021","Forestry and Land Scotland","HEO","140","135","37150","37530"
"In post","2021","Forestry and Land Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","SEO","80","80","44960","45210"
"In post","2021","Government Actuary's Department","AO","15","15","23140","23030"
"In post","2021","Government Actuary's Department","EO","20","20","29810","28910"
"In post","2021","Government Actuary's Department","G6","95","85","92360","89720"
"In post","2021","Government Actuary's Department","G7","15","15","58190","57250"
"In post","2021","Government Actuary's Department","HEO","30","30","36660","36590"
"In post","2021","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","SEO","30","30","48480","48800"
"In post","2021","Government Internal Audit Agency","AO","5","5","[c]","[c]"
"In post","2021","Government Internal Audit Agency","EO","15","10","28410","28080"
"In post","2021","Government Internal Audit Agency","G6","55","55","65510","64480"
"In post","2021","Government Internal Audit Agency","G7","110","105","53560","53390"
"In post","2021","Government Internal Audit Agency","HEO","85","80","33880","33420"
"In post","2021","Government Internal Audit Agency","SCS level","20","20","92950","87870"
"In post","2021","Government Internal Audit Agency","SEO","165","155","44080","43670"
"In post","2021","Government Legal Department","AO","65","60","23740","23800"
"In post","2021","Government Legal Department","EO","330","320","28550","27580"
"In post","2021","Government Legal Department","G6","800","730","67650","66260"
"In post","2021","Government Legal Department","G7","880","805","52470","51250"
"In post","2021","Government Legal Department","HEO","200","195","37660","35000"
"In post","2021","Government Legal Department","SCS level","205","195","83820","79980"
"In post","2021","Government Legal Department","SEO","50","50","39470","38880"
"In post","2021","Government Property Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","EO","20","20","26170","26390"
"In post","2021","Government Property Agency","G6","30","30","64650","65310"
"In post","2021","Government Property Agency","G7","65","65","53070","53070"
"In post","2021","Government Property Agency","HEO","40","35","33770","33060"
"In post","2021","Government Property Agency","SCS level","15","15","91250","82120"
"In post","2021","Government Property Agency","SEO","35","35","39350","38840"
"In post","2021","Health and Safety Executive","AO","285","250","22080","22160"
"In post","2021","Health and Safety Executive","EO","445","420","27980","27840"
"In post","2021","Health and Safety Executive","G6","95","90","70130","66900"
"In post","2021","Health and Safety Executive","G7","425","405","58970","57510"
"In post","2021","Health and Safety Executive","HEO","360","340","33260","31710"
"In post","2021","Health and Safety Executive","SCS level","35","35","88960","83350"
"In post","2021","Health and Safety Executive","SEO","930","880","49300","45870"
"In post","2021","HM Courts and Tribunals Service","AA","1940","1680","17520","16930"
"In post","2021","HM Courts and Tribunals Service","AO","8535","7535","20540","20100"
"In post","2021","HM Courts and Tribunals Service","EO","2645","2490","24060","23700"
"In post","2021","HM Courts and Tribunals Service","G7","670","650","55790","54930"
"In post","2021","HM Courts and Tribunals Service","HEO","1270","1235","28580","28600"
"In post","2021","HM Courts and Tribunals Service","SCS level","75","75","85720","77950"
"In post","2021","HM Courts and Tribunals Service","SEO","1450","1330","39270","39030"
"In post","2021","HM Courts and Tribunals Service","Unknown","15","15","38760","41480"
"In post","2021","HM Land Registry","AA","30","30","20740","21040"
"In post","2021","HM Land Registry","AO","1820","1725","22490","22350"
"In post","2021","HM Land Registry","EO","2155","1885","27500","27130"
"In post","2021","HM Land Registry","G6","55","55","72870","73760"
"In post","2021","HM Land Registry","G7","240","225","60130","60520"
"In post","2021","HM Land Registry","HEO","1285","1135","34730","33840"
"In post","2021","HM Land Registry","SCS level","25","25","92210","82040"
"In post","2021","HM Land Registry","SEO","740","685","42070","40860"
"In post","2021","HM Prison and Probation Service","AA","5895","5520","21340","20600"
"In post","2021","HM Prison and Probation Service","AO","22510","21350","27650","26810"
"In post","2021","HM Prison and Probation Service","EO","6235","5975","31050","31610"
"In post","2021","HM Prison and Probation Service","G6","335","325","82330","84320"
"In post","2021","HM Prison and Probation Service","G7","445","435","66160","65870"
"In post","2021","HM Prison and Probation Service","HEO","4085","3880","35510","36480"
"In post","2021","HM Prison and Probation Service","SCS level","85","85","97970","99500"
"In post","2021","HM Prison and Probation Service","SEO","2365","2300","50560","51150"
"In post","2021","HM Prison and Probation Service","Unknown","12085","11170","29930","28690"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA","840","645","20110","20070"
"In post","2021","HM Revenue and Customs (excl. agencies)","AO","19915","17325","20770","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","14680","13555","26410","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6","2010","1930","66910","64670"
"In post","2021","HM Revenue and Customs (excl. agencies)","G7","5295","5100","53540","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","HEO","13285","12615","32650","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS level","485","475","85630","78760"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO","6430","6165","39030","38630"
"In post","2021","HM Treasury (excl. agencies)","AO","60","60","22280","22500"
"In post","2021","HM Treasury (excl. agencies)","EO","210","205","26870","26750"
"In post","2021","HM Treasury (excl. agencies)","G6","270","265","66060","63920"
"In post","2021","HM Treasury (excl. agencies)","G7","585","570","54940","52840"
"In post","2021","HM Treasury (excl. agencies)","HEO","740","735","34390","32320"
"In post","2021","HM Treasury (excl. agencies)","SCS level","155","145","83900","77000"
"In post","2021","Home Office (incl. agencies)","AA","920","790","19560","17990"
"In post","2021","Home Office (incl. agencies)","AO","7410","6595","22290","21430"
"In post","2021","Home Office (incl. agencies)","EO","14365","13185","26950","26070"
"In post","2021","Home Office (incl. agencies)","G6","895","870","69900","68940"
"In post","2021","Home Office (incl. agencies)","G7","2470","2420","57540","57460"
"In post","2021","Home Office (incl. agencies)","HEO","5250","5050","33450","33530"
"In post","2021","Home Office (incl. agencies)","SCS level","290","285","91800","83790"
"In post","2021","Home Office (incl. agencies)","SEO","3530","3440","41370","41970"
"In post","2021","Home Office (incl. agencies)","Unknown","250","250","32730","28670"
"In post","2021","Insolvency Service","AA","65","60","19430","18900"
"In post","2021","Insolvency Service","AO","575","540","21400","20880"
"In post","2021","Insolvency Service","EO","215","205","26080","26290"
"In post","2021","Insolvency Service","G6","35","35","73250","73100"
"In post","2021","Insolvency Service","G7","110","110","55150","54710"
"In post","2021","Insolvency Service","HEO","485","465","34110","34390"
"In post","2021","Insolvency Service","SCS level","10","10","[c]","[c]"
"In post","2021","Insolvency Service","SEO","315","300","44190","43870"
"In post","2021","Institute for Apprenticeships and Technical Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","EO","10","10","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","G6","30","30","65740","65160"
"In post","2021","Institute for Apprenticeships and Technical Education","G7","90","85","52600","53560"
"In post","2021","Institute for Apprenticeships and Technical Education","HEO","15","15","31780","32210"
"In post","2021","Institute for Apprenticeships and Technical Education","SCS level","10","10","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","SEO","55","55","38530","36970"
"In post","2021","Legal Aid Agency","AA","30","25","17710","17360"
"In post","2021","Legal Aid Agency","AO","420","385","19880","19930"
"In post","2021","Legal Aid Agency","EO","330","310","23760","22570"
"In post","2021","Legal Aid Agency","G7","95","95","59330","55510"
"In post","2021","Legal Aid Agency","HEO","135","130","29710","30330"
"In post","2021","Legal Aid Agency","SCS level","10","10","84960","76540"
"In post","2021","Legal Aid Agency","SEO","165","155","39140","40080"
"In post","2021","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","AA","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","AO","290","270","24270","26590"
"In post","2021","Maritime and Coastguard Agency","EO","245","235","29020","29350"
"In post","2021","Maritime and Coastguard Agency","G6","20","20","71360","69640"
"In post","2021","Maritime and Coastguard Agency","G7","135","130","58310","55320"
"In post","2021","Maritime and Coastguard Agency","HEO","265","255","34400","35040"
"In post","2021","Maritime and Coastguard Agency","SCS level","5","5","[c]","[c]"
