"Status","Year","Region_ITL3","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Female","Heterosexual / straight","550","500","34160","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Female","LGBO","30","30","30800","28290"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Female","Undeclared","105","95","29230","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Female","Unknown","240","220","30010","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Male","Heterosexual / straight","520","505","42030","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Male","LGBO","35","35","36120","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Male","Undeclared","100","95","41150","32060"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Male","Unknown","285","275","36010","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","Female","Heterosexual / straight","740","665","27420","25300"
"In post","2021","Angus and Dundee City","Outside London","Female","LGBO","40","40","23510","21150"
"In post","2021","Angus and Dundee City","Outside London","Female","Undeclared","110","95","24650","22820"
"In post","2021","Angus and Dundee City","Outside London","Female","Unknown","270","235","25260","21010"
"In post","2021","Angus and Dundee City","Outside London","Male","Heterosexual / straight","455","445","26660","22230"
"In post","2021","Angus and Dundee City","Outside London","Male","LGBO","40","35","25470","21010"
"In post","2021","Angus and Dundee City","Outside London","Male","Undeclared","55","50","23800","21010"
"In post","2021","Angus and Dundee City","Outside London","Male","Unknown","190","180","24330","21010"
"In post","2021","Angus and Dundee City","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Female","Heterosexual / straight","50","45","26990","21670"
"In post","2021","Antrim and Newtownabbey","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Male","Heterosexual / straight","110","110","22110","20310"
"In post","2021","Antrim and Newtownabbey","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Female","Heterosexual / straight","45","40","29550","22330"
"In post","2021","Ards and North Down","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Male","Heterosexual / straight","140","140","25230","20310"
"In post","2021","Ards and North Down","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
