"Status","Year","Organisation","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","Unknown","30","25","27060","22230"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","130","125","42740","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","Undeclared","30","30","42960","40890"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","Unknown","35","35","41580","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","500","455","32700","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","40","40","28750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","100","85","32830","31320"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","220","210","26380","24250"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","70","70","35820","31800"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","LGBO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","Unknown","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","1810","1715","30250","26520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","LGBO","125","120","27030","24920"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","315","300","32710","29750"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","Unknown","320","295","30150","26520"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","Unknown","30","25","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","Heterosexual / straight","3220","3165","51980","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","LGBO","365","360","47280","41820"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","Undeclared","405","400","50850","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","Unknown","2505","2485","47150","34550"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","Heterosexual / straight","1055","1000","36560","33060"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","LGBO","65","65","32680","32000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","Undeclared","85","80","34630","33300"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","Unknown","1150","1125","45480","36460"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Heterosexual / straight","140","135","41870","35900"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Unknown","440","440","34530","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","225","215","33820","29510"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","30","30","35290","34330"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","Unknown","340","325","34520","29750"
"In post","2021","Charity Commission","Charity Commission","London","Heterosexual / straight","35","35","42730","37910"
"In post","2021","Charity Commission","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
