"Status","Year","Disability","Ethnicity","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","London","AA/AO","235","205","24860","25110"
"In post","2021","Declared disabled","Asian","London","EO","475","435","30200","31060"
"In post","2021","Declared disabled","Asian","London","G6/G7","160","155","59640","59160"
"In post","2021","Declared disabled","Asian","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","SEO/HEO","370","355","38420","37420"
"In post","2021","Declared disabled","Asian","London","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outside London","AA/AO","545","475","21190","21010"
"In post","2021","Declared disabled","Asian","Outside London","EO","515","475","27150","27570"
"In post","2021","Declared disabled","Asian","Outside London","G6/G7","65","60","55500","52580"
"In post","2021","Declared disabled","Asian","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outside London","SEO/HEO","255","245","34790","33170"
"In post","2021","Declared disabled","Asian","Outside London","Unknown","65","60","30170","30210"
"In post","2021","Declared disabled","Asian","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","London","AA/AO","285","255","25000","24490"
"In post","2021","Declared disabled","Black","London","EO","465","440","30320","31060"
"In post","2021","Declared disabled","Black","London","G6/G7","90","90","58910","57680"
"In post","2021","Declared disabled","Black","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","London","SEO/HEO","265","260","37990","36650"
"In post","2021","Declared disabled","Black","London","Unknown","100","95","33770","32090"
"In post","2021","Declared disabled","Black","Outside London","AA/AO","180","160","21660","21010"
"In post","2021","Declared disabled","Black","Outside London","EO","205","190","27420","27570"
"In post","2021","Declared disabled","Black","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Outside London","SEO/HEO","110","105","36670","35360"
"In post","2021","Declared disabled","Black","Outside London","Unknown","75","70","30610","28200"
"In post","2021","Declared disabled","Black","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","G6/G7","[c]","[c]","[c]","[c]"
