"Status","Year","Age","Disability","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
