"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2021","16-19","Companies House","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","AA/AO","25","25","21680","21950"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Science and Engineering","AA/AO","15","15","15880","14850"
"In post","2021","16-19","Defence Electronics and Components Agency","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Finance","EO","20","20","19170","19040"
"In post","2021","16-19","Defence Equipment and Support","Other","EO","20","20","17870","17780"
"In post","2021","16-19","Defence Equipment and Support","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Science and Engineering","EO","65","65","17850","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Science and Engineering","AA/AO","15","15","17150","16990"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","EO","10","10","[c]","[c]"
