"Status","Year","Disability","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","SEO/HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
