"Status","Year","Age","Parent_department","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Essex","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Hampshire and Isle of Wight","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Inner London - West","AO","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Merseyside","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Surrey, East and West Sussex","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Wales and The Valleys","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","North Yorkshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Devon","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Devon","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Wales","AO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","EO","10","10","27390","27680"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Kent","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","West Yorkshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Greater Manchester","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","South Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","West Midlands","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Inner London - West","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Lancashire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Southern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Hampshire and Isle of Wight","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Leicestershire, Rutland and Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Shropshire and Staffordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","West Wales and The Valleys","AA","25","15","18060","18060"
"In post","2021","16-19","Department for Transport","West Wales and The Valleys","AO","10","10","21590","21590"
"In post","2021","16-19","Department for Transport","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Bedfordshire and Hertfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Berkshire, Buckinghamshire and Oxfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Derbyshire and Nottinghamshire","AO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Devon","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Dorset and Somerset","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","East Anglia","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Eastern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Essex","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Greater Manchester","AO","10","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Herefordshire, Worcestershire and Warwickshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Kent","AO","[c]","[c]","[c]","[c]"
