"Status","Year","Disability","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office (excl. agencies)","Cabinet Office","55","55","41990","35590"
"In post","2021","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Commercial Service","Other Cabinet Office Agencies","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service","Attorney General's Departments","55","45","40240","34480"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Equipment and Support","Ministry of Defence","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Science and Technology Laboratory","Ministry of Defence","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40","40","42980","34610"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education (excl. agencies)","Department for Education","35","35","38700","36500"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","40","40","37410","36460"
"In post","2021","Declared disabled","Asian","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport (excl. agencies)","Department for Transport","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","980","880","27730","27570"
"In post","2021","Declared disabled","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Driver and Vehicle Standards Agency","Department for Transport","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Education and Skills Funding Agency","Department for Education","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","40","35","39270","35700"
"In post","2021","Declared disabled","Asian","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Internal Audit Agency","HM Treasury","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Legal Department","Attorney General's Departments","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","HM Courts and Tribunals Service","Ministry of Justice","165","145","24600","22080"
