"Status","Year","Organisation","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","AA","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","HEO","20","20","34960","35110"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","SEO","10","10","47170","46600"
"In post","2021","Accountant in Bankruptcy","Scotland","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Glasgow City","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","HEO","35","35","32030","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","SEO","10","10","40670","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","HEO","20","20","33010","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","SEO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","G7","20","20","59220","58850"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","HEO","75","70","37750","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","SEO","55","55","46490","47250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","HEO","55","50","32080","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","SEO","15","10","41120","39880"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","EO","65","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","HEO","60","55","32900","34290"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","SEO","10","10","40980","39890"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","HEO","40","35","32230","31160"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","SEO","10","10","41690","42200"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","HEO","10","10","33530","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","SEO","10","10","40990","39880"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","HEO","25","25","32360","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","SEO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","HEO","40","40","32240","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","SEO","10","10","41420","40440"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","HEO","35","35","32370","30990"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","SEO","10","10","40790","40000"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","HEO","30","30","32290","31180"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","SEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","EO","10","10","25580","25210"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","SEO","5","5","[c]","[c]"
