"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","AO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","London","EO","35","35","28720","28600"
"In post","2021","Asian","Analysis","London","G6","30","25","[c]","[c]"
"In post","2021","Asian","Analysis","London","G7","90","85","56680","56890"
"In post","2021","Asian","Analysis","London","HEO","105","105","35950","35430"
"In post","2021","Asian","Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","SEO","50","50","43520","42470"
"In post","2021","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","HEO","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","EO","[c]","[c]","[c]","[c]"
