"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","London","AO","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","London","G6","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","London","HEO","25","25","[c]","[c]"
"In post","2021","Asian","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","SEO","35","35","43110","43700"
"In post","2021","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","EO","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","HEO","30","30","30960","30730"
"In post","2021","Asian","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","SEO","50","50","40180","38630"
"In post","2021","Asian","Commercial","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","EO","25","25","[c]","[c]"
"In post","2021","Asian","Communications","London","G6","10","10","[c]","[c]"
"In post","2021","Asian","Communications","London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Communications","London","HEO","55","55","35730","34220"
"In post","2021","Asian","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","SEO","30","30","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","EO","15","10","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","G7","[c]","[c]","[c]","[c]"
