"Status","Year","Age","Parent_department","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Inner London - West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Surrey, East and West Sussex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Wales and The Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Wales and The Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
