"Status","Year","Organisation","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","Heterosexual / straight","50","45","32060","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","Heterosexual / straight","30","30","33800","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
