"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","London","50","50","46860","42020"
"In post","2021","Declared disabled","Analysis","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Wales","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","South East (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Wales","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","North West (England)","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","South East (England)","35","35","39760","37320"
"In post","2021","Declared disabled","Analysis","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","East of England","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","South East (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","South West (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","London","30","30","46460","42470"
"In post","2021","Declared disabled","Analysis","Social Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","South East (England)","30","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","South West (England)","[c]","[c]","[c]","[c]"
