"Status","Year","Function_of_post","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Female","Heterosexual / straight","65","60","33290","30220"
"In post","2021","Analysis","East of England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Analysis","East of England","Female","Unknown","95","90","31530","29750"
"In post","2021","Analysis","East of England","Male","Heterosexual / straight","80","80","36180","31810"
"In post","2021","Analysis","East of England","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","East of England","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","East of England","Male","Unknown","115","110","38760","35900"
"In post","2021","Analysis","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Female","Heterosexual / straight","1025","970","48730","45250"
"In post","2021","Analysis","London","Female","LGBO","95","90","45220","42980"
"In post","2021","Analysis","London","Female","Undeclared","105","95","48600","44530"
"In post","2021","Analysis","London","Female","Unknown","265","255","48440","42470"
