"Status","Year","Age","Region_ITL3","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","25","25","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","65","65","18000","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Bedford","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","AO","Female","15","15","[c]","[c]"
"In post","2021","16-19","Birmingham","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Birmingham","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Blackpool","AO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","AO","Female","[c]","[c]","[c]","[c]"
