"Status","Year","Age","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","5","5","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","AO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2021","16-19","Companies House","Department for Business, Energy and Industrial Strategy","AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","AO","10","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","AO","25","25","21700","21950"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Ministry of Defence","AA","15","15","15880","14850"
"In post","2021","16-19","Defence Electronics and Components Agency","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Ministry of Defence","EO","110","110","18130","17780"
"In post","2021","16-19","Defence Equipment and Support","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Ministry of Defence","AA","10","10","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Ministry of Defence","AO","10","10","18990","17710"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","EO","10","10","25320","25000"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","15","15","23880","25100"
"In post","2021","16-19","Department for International Trade","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","160","155","21230","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","40","40","28290","27570"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","AA","25","15","18060","18060"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","AO","10","10","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","EO","[c]","[c]","[c]","[c]"
