"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","55","55","37460","37500"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","60","55","40210","40580"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Cheshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","EO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","EO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","EO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Devon","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","G6/G7","Female","40","40","51850","48210"
"In post","2021","Commercial","Devon","G6/G7","Male","50","50","52150","48390"
"In post","2021","Commercial","Devon","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","SEO/HEO","Female","60","55","36040","36430"
"In post","2021","Commercial","Devon","SEO/HEO","Male","45","45","37510","38200"
"In post","2021","Commercial","Devon","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","EO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","SEO/HEO","Male","20","15","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","East Anglia","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","EO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East Anglia","EO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Anglia","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East Anglia","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Anglia","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","SEO/HEO","Female","90","85","36610","35760"
"In post","2021","Commercial","East Anglia","SEO/HEO","Male","70","70","37590","36430"
"In post","2021","Commercial","East Anglia","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","EO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East Wales","EO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East Wales","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East Wales","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Commercial","East Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","SEO/HEO","Female","40","40","34580","34780"
"In post","2021","Commercial","East Wales","SEO/HEO","Male","45","45","35540","35440"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","AA/AO","Female","20","20","[c]","[c]"
