"Status","Year","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","425","415","42870","39030"
"In post","2021","Asian","Commercial","275","265","41270","36420"
"In post","2021","Asian","Communications","505","495","32700","30700"
"In post","2021","Asian","Counter Fraud","610","585","32380","31810"
"In post","2021","Asian","Debt","350","305","23860","24120"
"In post","2021","Asian","Digital, Data & Technology","805","790","41230","36800"
"In post","2021","Asian","Finance","745","720","38280","35000"
"In post","2021","Asian","Grants Management","25","20","[c]","[c]"
"In post","2021","Asian","Human Resources","470","455","36870","33130"
"In post","2021","Asian","Internal Audit","75","75","46320","44020"
"In post","2021","Asian","Legal","1145","1065","42490","40850"
"In post","2021","Asian","No function","9315","8730","32540","28680"
"In post","2021","Asian","Project Delivery","1135","1110","41580","38600"
"In post","2021","Asian","Property","310","295","34370","30680"
"In post","2021","Asian","Security","220","220","31940","29880"
"In post","2021","Asian","Unknown","12730","11640","29650","27570"
"In post","2021","Black","Analysis","175","175","39610","36800"
"In post","2021","Black","Commercial","185","180","40420","37000"
"In post","2021","Black","Communications","205","200","32940","29570"
"In post","2021","Black","Counter Fraud","250","245","31510","29570"
"In post","2021","Black","Debt","150","140","25380","24630"
"In post","2021","Black","Digital, Data & Technology","375","370","39230","36030"
"In post","2021","Black","Finance","350","345","39440","36670"
"In post","2021","Black","Grants Management","10","10","[c]","[c]"
"In post","2021","Black","Human Resources","310","300","37430","33920"
"In post","2021","Black","Internal Audit","30","30","43500","41320"
"In post","2021","Black","Legal","645","620","41260","35090"
"In post","2021","Black","No function","5820","5605","32170","29860"
"In post","2021","Black","Project Delivery","660","655","39100","36300"
"In post","2021","Black","Property","145","140","36340","33550"
"In post","2021","Black","Security","115","115","31070","27750"
"In post","2021","Black","Unknown","6160","5830","30460","29290"
"In post","2021","Chinese","Analysis","65","65","46190","42200"
"In post","2021","Chinese","Commercial","20","20","[c]","[c]"
"In post","2021","Chinese","Communications","25","25","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","25","25","[c]","[c]"
"In post","2021","Chinese","Debt","10","10","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","55","50","42480","37910"
"In post","2021","Chinese","Finance","50","50","41090","36700"
"In post","2021","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","20","20","[c]","[c]"
"In post","2021","Chinese","Internal Audit","5","5","[c]","[c]"
"In post","2021","Chinese","Legal","60","55","45830","51250"
"In post","2021","Chinese","No function","455","435","36770","32670"
"In post","2021","Chinese","Project Delivery","45","45","47090","42990"
"In post","2021","Chinese","Property","15","15","[c]","[c]"
"In post","2021","Chinese","Security","15","15","[c]","[c]"
"In post","2021","Chinese","Unknown","380","355","32290","28670"
"In post","2021","Mixed","Analysis","195","190","42340","37370"
"In post","2021","Mixed","Commercial","95","95","41770","36000"
"In post","2021","Mixed","Communications","160","155","36430","32900"
"In post","2021","Mixed","Counter Fraud","135","130","34240","31810"
"In post","2021","Mixed","Debt","40","35","22550","20410"
"In post","2021","Mixed","Digital, Data & Technology","225","225","43540","40300"
"In post","2021","Mixed","Finance","150","145","41500","38390"
"In post","2021","Mixed","Grants Management","10","10","[c]","[c]"
"In post","2021","Mixed","Human Resources","175","170","40950","35590"
"In post","2021","Mixed","Internal Audit","10","10","[c]","[c]"
"In post","2021","Mixed","Legal","340","320","47410","50520"
"In post","2021","Mixed","No function","3270","3130","34860","31650"
"In post","2021","Mixed","Project Delivery","460","450","42160","38600"
"In post","2021","Mixed","Property","105","100","33570","32780"
"In post","2021","Mixed","Security","95","95","36130","33240"
"In post","2021","Mixed","Unknown","2790","2615","31070","27570"
"In post","2021","Other ethnicity","Analysis","45","40","47180","42470"
"In post","2021","Other ethnicity","Commercial","25","25","[c]","[c]"
"In post","2021","Other ethnicity","Communications","35","35","36280","31810"
"In post","2021","Other ethnicity","Counter Fraud","35","30","35790","32520"
"In post","2021","Other ethnicity","Debt","25","20","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data & Technology","90","90","44890","39650"
"In post","2021","Other ethnicity","Finance","60","55","39560","36810"
"In post","2021","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Human Resources","50","50","33620","30470"
"In post","2021","Other ethnicity","Internal Audit","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Legal","160","145","52280","53360"
"In post","2021","Other ethnicity","No function","985","935","36540","32750"
"In post","2021","Other ethnicity","Project Delivery","145","145","44300","40750"
"In post","2021","Other ethnicity","Property","35","35","38020","33300"
"In post","2021","Other ethnicity","Security","40","40","33880","32930"
"In post","2021","Other ethnicity","Unknown","860","800","32230","28670"
"In post","2021","Undeclared","Analysis","245","240","44950","41830"
