"Status","Year","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO","10","10","39430","38360"
"In post","2021","Attorney General's Departments","Communications","EO","10","10","27370","27160"
"In post","2021","Attorney General's Departments","Communications","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G7","10","10","53490","53840"
"In post","2021","Attorney General's Departments","Communications","HEO","15","15","31880","31560"
"In post","2021","Attorney General's Departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO","30","30","40240","39750"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","35","35","27270","26380"
"In post","2021","Attorney General's Departments","Counter Fraud","G6","40","35","70420","69110"
"In post","2021","Attorney General's Departments","Counter Fraud","G7","45","40","58480","58590"
"In post","2021","Attorney General's Departments","Counter Fraud","HEO","70","70","33600","33100"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO","80","80","41080","40390"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","EO","30","30","27350","27500"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","G7","25","25","56500","55750"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","HEO","45","40","32680","32080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SEO","55","55","40540","39800"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","Finance","AO","25","20","21870","21950"
"In post","2021","Attorney General's Departments","Finance","EO","35","30","26890","26950"
"In post","2021","Attorney General's Departments","Finance","G6","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","G7","15","15","53920","54760"
"In post","2021","Attorney General's Departments","Finance","HEO","35","35","31920","31630"
"In post","2021","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SEO","15","15","39510","38880"
"In post","2021","Attorney General's Departments","Human Resources","AO","10","10","23780","23800"
"In post","2021","Attorney General's Departments","Human Resources","EO","40","40","27000","26950"
"In post","2021","Attorney General's Departments","Human Resources","G6","15","15","71540","70280"
"In post","2021","Attorney General's Departments","Human Resources","G7","50","45","54110","52090"
"In post","2021","Attorney General's Departments","Human Resources","HEO","70","65","31930","31270"
"In post","2021","Attorney General's Departments","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SEO","35","35","39920","38730"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","EO","180","180","29070","29280"
"In post","2021","Attorney General's Departments","Legal","G6","945","875","68950","66640"
"In post","2021","Attorney General's Departments","Legal","G7","3395","3120","55400","54200"
"In post","2021","Attorney General's Departments","Legal","HEO","470","450","38960","38760"
"In post","2021","Attorney General's Departments","Legal","SCS level","265","255","86530","82500"
"In post","2021","Attorney General's Departments","Legal","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","AA","15","15","19690","20180"
"In post","2021","Attorney General's Departments","Operational Delivery","AO","1420","1300","22280","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","EO","1170","1075","28120","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","G6","30","30","71260","70170"
"In post","2021","Attorney General's Departments","Operational Delivery","G7","60","60","54870","54760"
"In post","2021","Attorney General's Departments","Operational Delivery","HEO","260","250","32490","32370"
"In post","2021","Attorney General's Departments","Operational Delivery","SCS level","10","10","94030","83100"
"In post","2021","Attorney General's Departments","Operational Delivery","SEO","95","90","40210","39750"
"In post","2021","Attorney General's Departments","Other","AO","50","50","23720","23800"
"In post","2021","Attorney General's Departments","Other","EO","225","210","27570","27350"
"In post","2021","Attorney General's Departments","Other","G6","20","20","66650","65980"
"In post","2021","Attorney General's Departments","Other","G7","25","25","53060","51270"
"In post","2021","Attorney General's Departments","Other","HEO","85","85","32040","31200"
"In post","2021","Attorney General's Departments","Other","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SEO","30","30","39130","38850"
"In post","2021","Attorney General's Departments","Policy","AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","EO","10","10","28260","27850"
"In post","2021","Attorney General's Departments","Policy","G6","10","10","68890","67000"
"In post","2021","Attorney General's Departments","Policy","G7","40","40","56700","54760"
"In post","2021","Attorney General's Departments","Policy","HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SEO","10","10","40580","40350"
"In post","2021","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","HEO","10","10","31800","32050"
"In post","2021","Attorney General's Departments","Security","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
