"Status","Year","Age","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","16-19","Asian","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Black","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Unknown","[c]","[c]","[c]","[c]"
