"Status","Year","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","115","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","85","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","55","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","95","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","105","95","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","70","65","31800","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","145","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","30","30","34660","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","95","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","40","35","34060","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","200","195","42390","38670"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","10","10","38580","36970"
"In post","2021","Animal and Plant Health Agency","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","25","20","30650","29180"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","85","85","27960","21050"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","25","25","31720","29180"
"In post","2021","Animal and Plant Health Agency","Cheshire East","35","30","32670","29180"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","55","55","32700","26520"
"In post","2021","Animal and Plant Health Agency","Devon CC","205","195","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset CC","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","East Kent","40","35","27670","25100"
