"Status","Year","Age","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","AA/AO","30","30","20330","21010"
"In post","2021","16-19","Declared disabled","Outside London","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","AA/AO","40","35","23400","23380"
"In post","2021","16-19","Declared non-disabled","London","EO","55","50","26570","26410"
"In post","2021","16-19","Declared non-disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Outside London","AA/AO","445","430","20720","21010"
"In post","2021","16-19","Declared non-disabled","Outside London","EO","130","130","22180","20570"
"In post","2021","16-19","Declared non-disabled","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","AA/AO","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","London","EO","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","AA/AO","390","370","20600","20140"
"In post","2021","16-19","Unknown","Outside London","EO","70","70","20410","17780"
"In post","2021","16-19","Unknown","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","Declared disabled","London","AA/AO","155","155","25410","24490"
"In post","2021","20-29","Declared disabled","London","EO","425","420","29240","29250"
"In post","2021","20-29","Declared disabled","London","G6/G7","195","195","55480","53910"
"In post","2021","20-29","Declared disabled","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","London","SEO/HEO","640","635","35650","34710"
"In post","2021","20-29","Declared disabled","London","Unknown","30","30","28710","26810"
"In post","2021","20-29","Declared disabled","Outside London","AA/AO","1370","1325","21840","21010"
"In post","2021","20-29","Declared disabled","Outside London","EO","1125","1110","26430","27570"
"In post","2021","20-29","Declared disabled","Outside London","G6/G7","60","60","50610","51230"
"In post","2021","20-29","Declared disabled","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Outside London","SEO/HEO","665","655","32830","31940"
"In post","2021","20-29","Declared disabled","Outside London","Unknown","220","215","25570","23840"
"In post","2021","20-29","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","SEO/HEO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","EO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","London","AA/AO","1480","1455","25880","25110"
"In post","2021","20-29","Declared non-disabled","London","EO","3350","3320","29170","29080"
"In post","2021","20-29","Declared non-disabled","London","G6/G7","2095","2090","55380","54400"
"In post","2021","20-29","Declared non-disabled","London","SCS level","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","London","SEO/HEO","6195","6175","36420","35200"
"In post","2021","20-29","Declared non-disabled","London","Unknown","255","255","29330","26810"
"In post","2021","20-29","Declared non-disabled","Outside London","AA/AO","13900","13490","22310","21010"
"In post","2021","20-29","Declared non-disabled","Outside London","EO","10265","10145","26210","26350"
"In post","2021","20-29","Declared non-disabled","Outside London","G6/G7","580","580","51480","52580"
"In post","2021","20-29","Declared non-disabled","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Outside London","SEO/HEO","6380","6340","32810","31810"
"In post","2021","20-29","Declared non-disabled","Outside London","Unknown","1615","1585","25690","23840"
"In post","2021","20-29","Declared non-disabled","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Overseas","EO","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Overseas","G6/G7","25","25","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Overseas","SEO/HEO","160","160","35230","33860"
"In post","2021","20-29","Declared non-disabled","Overseas","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Unknown","AA/AO","30","30","21680","21010"
"In post","2021","20-29","Declared non-disabled","Unknown","EO","60","60","27550","27570"
"In post","2021","20-29","Declared non-disabled","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Unknown","SEO/HEO","40","40","34330","33250"
"In post","2021","20-29","Declared non-disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Undeclared","London","AA/AO","85","85","25320","24180"
"In post","2021","20-29","Undeclared","London","EO","225","220","29130","29970"
"In post","2021","20-29","Undeclared","London","G6/G7","175","175","54620","54110"
"In post","2021","20-29","Undeclared","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","London","SEO/HEO","590","590","35590","34710"
"In post","2021","20-29","Undeclared","London","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","Outside London","AA/AO","670","650","22370","21010"
"In post","2021","20-29","Undeclared","Outside London","EO","550","545","26730","27570"
"In post","2021","20-29","Undeclared","Outside London","G6/G7","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","Outside London","SEO/HEO","345","340","32770","31810"
"In post","2021","20-29","Undeclared","Outside London","Unknown","65","65","25670","23840"
"In post","2021","20-29","Undeclared","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","EO","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","London","AA/AO","930","925","25320","24120"
"In post","2021","20-29","Unknown","London","EO","1465","1455","29200","28520"
"In post","2021","20-29","Unknown","London","G6/G7","940","935","55190","53620"
"In post","2021","20-29","Unknown","London","SCS level","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","London","SEO/HEO","3665","3650","34430","33120"
"In post","2021","20-29","Unknown","London","Unknown","55","55","26220","26810"
"In post","2021","20-29","Unknown","Outside London","AA/AO","7815","7605","21820","20880"
"In post","2021","20-29","Unknown","Outside London","EO","4080","4035","26380","25560"
"In post","2021","20-29","Unknown","Outside London","G6/G7","220","220","51320","50520"
"In post","2021","20-29","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Outside London","SEO/HEO","2930","2915","32580","31810"
"In post","2021","20-29","Unknown","Outside London","Unknown","320","310","23900","22920"
"In post","2021","20-29","Unknown","Overseas","EO","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","SEO/HEO","50","50","37850","37650"
"In post","2021","20-29","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","EO","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","SEO/HEO","295","295","30580","29250"
"In post","2021","20-29","Unknown","Unknown","Unknown","365","365","29030","28980"
"In post","2021","30-39","Declared disabled","London","AA/AO","150","135","26700","25110"
"In post","2021","30-39","Declared disabled","London","EO","335","315","30060","31000"
