"Status","Year","Parent_department","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","Heterosexual / straight","90","85","42390","38120"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","Unknown","35","30","47410","52330"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","Heterosexual / straight","340","320","38910","38000"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","Unknown","130","120","41500","38760"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","Heterosexual / straight","75","70","44500","40000"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","Heterosexual / straight","100","95","39580","33310"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","Unknown","35","30","48010","55610"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","Heterosexual / straight","155","145","41350","40420"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","Unknown","45","40","41490","40040"
"In post","2021","Attorney General's Departments","Central Valleys","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","London","Heterosexual / straight","60","55","40180","34460"
"In post","2021","Attorney General's Departments","Croydon","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","London","Unknown","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Outside London","Undeclared","[c]","[c]","[c]","[c]"
