"Status","Year","Organisation","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Scotland","115","105","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","95","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","40","35","34060","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","200","195","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North East (England)","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","145","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Scotland","105","95","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South East (England)","30","30","34660","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West (England)","55","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wales","95","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands (England)","85","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","70","65","31800","30950"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","80","75","32650","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","145","140","31340","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","110","105","37060","31800"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","40","40","32280","27560"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","275","260","27980","24920"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","130","125","31770","26520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","675","645","32940","28630"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","420","395","29100","25100"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","320","300","28280","25100"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","270","250","29570","26520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","210","200","29400","25520"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","45","45","50500","50500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","25","25","48110","39190"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","East of England","115","110","46760","38460"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","6500","6410","49780","42260"
