"Status","Year","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","10","10","23240","22330"
"In post","2021","16-19","Communications","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","25","25","21800","21040"
"In post","2021","16-19","Economics","30","30","25880","26250"
"In post","2021","16-19","Finance","40","35","20560","20140"
"In post","2021","16-19","Human Resources","15","15","22240","21990"
"In post","2021","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","420","390","21200","21050"
"In post","2021","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","85","85","19700","17780"
"In post","2021","16-19","Policy","40","40","24720","24780"
"In post","2021","16-19","Project Delivery","10","10","23210","21400"
"In post","2021","16-19","Property","25","25","22250","21600"
"In post","2021","16-19","Science and Engineering","120","120","17700","17710"
"In post","2021","16-19","Security","20","20","21740","19560"
"In post","2021","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","150","145","20350","20140"
"In post","2021","16-19","Unknown","320","315","22300","21010"
"In post","2021","20-29","Commercial","850","840","30750","29550"
"In post","2021","20-29","Communications","835","835","34250","32940"
"In post","2021","20-29","Corporate Finance","20","20","34280","28650"
"In post","2021","20-29","Counter Fraud","80","80","31290","32730"
"In post","2021","20-29","Digital, Data and Technology","1940","1930","33260","31810"
"In post","2021","20-29","Economics","1185","1180","37360","34000"
"In post","2021","20-29","Finance","1205","1190","32590","30420"
"In post","2021","20-29","Human Resources","1080","1065","31140","28850"
"In post","2021","20-29","Intelligence Analysis","540","535","33670","30700"
"In post","2021","20-29","Internal Audit","50","50","35090","33680"
"In post","2021","20-29","International Trade","460","460","37700","34970"
"In post","2021","20-29","Knowledge and Information Management","285","280","28220","27170"
"In post","2021","20-29","Legal","1230","1225","33570","29570"
"In post","2021","20-29","Medicine","145","140","29440","27420"
"In post","2021","20-29","Operational Delivery","27610","27015","25250","24300"
"In post","2021","20-29","Operational Research","340","340","34270","33600"
"In post","2021","20-29","Other","2620","2590","27990","26410"
"In post","2021","20-29","Planning","35","30","34550","32120"
"In post","2021","20-29","Policy","7555","7525","38400","35050"
"In post","2021","20-29","Project Delivery","2055","2040","32830","31810"
"In post","2021","20-29","Property","625","610","28640","26810"
"In post","2021","20-29","Psychology","365","360","27580","27380"
"In post","2021","20-29","Science and Engineering","2745","2725","28910","28650"
