"Status","Year","Age","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Female","25","25","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Male","15","15","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","10","10","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","10","10","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","Female","10","10","[c]","[c]"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","Male","5","5","[c]","[c]"
"In post","2021","16-19","East of England","East Anglia","Female","15","15","[c]","[c]"
"In post","2021","16-19","East of England","East Anglia","Male","15","10","[c]","[c]"
"In post","2021","16-19","East of England","Essex","Female","5","5","[c]","[c]"
"In post","2021","16-19","East of England","Essex","Male","5","5","[c]","[c]"
"In post","2021","16-19","London","Inner London - East","Female","15","15","[c]","[c]"
"In post","2021","16-19","London","Inner London - East","Male","10","10","[c]","[c]"
"In post","2021","16-19","London","Inner London - West","Female","55","55","25660","24780"
"In post","2021","16-19","London","Inner London - West","Male","50","50","25690","25170"
"In post","2021","16-19","London","Outer London - East and North East","Female","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","Female","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - West and North West","Female","10","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - West and North West","Male","[c]","[c]","[c]","[c]"
