"Status","Year","Age","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Outside London","Female","35","35","21320","20880"
"In post","2021","16-19","East Midlands (England)","Outside London","Male","25","20","[c]","[c]"
"In post","2021","16-19","East of England","Outside London","Female","30","30","23320","21430"
"In post","2021","16-19","East of England","Outside London","Male","25","25","[c]","[c]"
"In post","2021","16-19","London","London","Female","85","85","25170","24490"
"In post","2021","16-19","London","London","Male","70","65","25200","25170"
"In post","2021","16-19","North East (England)","Outside London","Female","50","45","20730","20140"
"In post","2021","16-19","North East (England)","Outside London","Male","45","45","21460","21010"
"In post","2021","16-19","North West (England)","Outside London","Female","85","80","20860","21010"
"In post","2021","16-19","North West (England)","Outside London","Male","55","55","21310","21000"
"In post","2021","16-19","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Outside London","Female","95","90","21010","20850"
"In post","2021","16-19","Scotland","Outside London","Male","80","75","20280","20140"
"In post","2021","16-19","South East (England)","Outside London","Female","60","60","21920","21430"
"In post","2021","16-19","South East (England)","Outside London","Male","65","65","22170","21430"
"In post","2021","16-19","South West (England)","Outside London","Female","60","60","19840","19090"
"In post","2021","16-19","South West (England)","Outside London","Male","120","120","18330","17780"
"In post","2021","16-19","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","35","35","19210","16470"
"In post","2021","16-19","Wales","Outside London","Female","70","60","20650","20140"
"In post","2021","16-19","Wales","Outside London","Male","65","60","19920","20140"
"In post","2021","16-19","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Outside London","Female","40","40","21850","21010"
"In post","2021","16-19","West Midlands (England)","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Outside London","Female","55","55","21310","21010"
"In post","2021","16-19","Yorkshire and The Humber","Outside London","Male","45","45","21100","20600"
"In post","2021","20-29","East Midlands (England)","Outside London","Female","1620","1575","24960","24440"
"In post","2021","20-29","East Midlands (England)","Outside London","Male","1395","1380","25760","25560"
"In post","2021","20-29","East of England","Outside London","Female","1600","1555","26140","25400"
"In post","2021","20-29","East of England","Outside London","Male","1270","1260","27060","27140"
"In post","2021","20-29","London","London","Female","13020","12920","35320","32790"
"In post","2021","20-29","London","London","Male","9975","9935","36490","33570"
"In post","2021","20-29","London","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","North East (England)","Outside London","Female","2135","2060","24970","23970"
"In post","2021","20-29","North East (England)","Outside London","Male","1800","1775","24890","23970"
"In post","2021","20-29","North West (England)","Outside London","Female","4525","4400","25410","24890"
"In post","2021","20-29","North West (England)","Outside London","Male","3825","3775","25740","24890"
"In post","2021","20-29","Northern Ireland","Outside London","Female","205","195","23570","20310"
"In post","2021","20-29","Northern Ireland","Outside London","Male","220","215","23130","20310"
"In post","2021","20-29","Overseas","Overseas","Female","160","160","37200","34220"
"In post","2021","20-29","Overseas","Overseas","Male","150","150","37520","34500"
"In post","2021","20-29","Scotland","Outside London","Female","3640","3535","26350","25560"
"In post","2021","20-29","Scotland","Outside London","Male","2880","2850","26070","24890"
"In post","2021","20-29","South East (England)","Outside London","Female","2990","2935","26980","26670"
"In post","2021","20-29","South East (England)","Outside London","Male","2730","2705","27530","27570"
"In post","2021","20-29","South East (England)","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","South West (England)","Outside London","Female","3415","3335","26750","25850"
