"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","AA/AO","Heterosexual / straight","550","480","20750","20620"
"In post","2021","Asian","East Midlands (England)","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","AA/AO","Undeclared","45","40","20380","20100"
"In post","2021","Asian","East Midlands (England)","AA/AO","Unknown","120","100","20850","21010"
"In post","2021","Asian","East Midlands (England)","EO","Heterosexual / straight","390","365","26640","27570"
"In post","2021","Asian","East Midlands (England)","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","EO","Undeclared","25","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","EO","Unknown","90","75","27060","27570"
"In post","2021","Asian","East Midlands (England)","G6/G7","Heterosexual / straight","65","60","55420","52580"
"In post","2021","Asian","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SEO/HEO","Heterosexual / straight","250","240","33880","31810"
"In post","2021","Asian","East Midlands (England)","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SEO/HEO","Unknown","35","35","35290","32100"
"In post","2021","Asian","East Midlands (England)","Unknown","Heterosexual / straight","65","60","29340","28200"
"In post","2021","Asian","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","AA/AO","Heterosexual / straight","305","255","22290","21430"
"In post","2021","Asian","East of England","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","AA/AO","Undeclared","35","30","22550","21430"
"In post","2021","Asian","East of England","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","East of England","EO","Heterosexual / straight","365","340","27960","27570"
"In post","2021","Asian","East of England","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","EO","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","East of England","EO","Unknown","35","35","28370","28240"
"In post","2021","Asian","East of England","G6/G7","Heterosexual / straight","40","40","62670","59730"
"In post","2021","Asian","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","East of England","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SEO/HEO","Heterosexual / straight","180","175","37730","37000"
"In post","2021","Asian","East of England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SEO/HEO","Undeclared","15","10","[c]","[c]"
"In post","2021","Asian","East of England","SEO/HEO","Unknown","15","10","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","Heterosexual / straight","35","35","27860","24020"
"In post","2021","Asian","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","AA/AO","Heterosexual / straight","1830","1660","24780","25110"
"In post","2021","Asian","London","AA/AO","LGBO","55","45","25150","25110"
"In post","2021","Asian","London","AA/AO","Undeclared","220","195","24450","25110"
"In post","2021","Asian","London","AA/AO","Unknown","325","265","24730","25080"
"In post","2021","Asian","London","EO","Heterosexual / straight","3745","3520","29730","29570"
"In post","2021","Asian","London","EO","LGBO","80","75","29650","30010"
"In post","2021","Asian","London","EO","Undeclared","295","260","29850","30180"
"In post","2021","Asian","London","EO","Unknown","440","390","30550","31060"
"In post","2021","Asian","London","G6/G7","Heterosexual / straight","1765","1720","59260","57680"
"In post","2021","Asian","London","G6/G7","LGBO","60","60","58890","57460"
"In post","2021","Asian","London","G6/G7","Undeclared","90","90","59620","57460"
"In post","2021","Asian","London","G6/G7","Unknown","170","160","61200","59160"
"In post","2021","Asian","London","SCS level","Heterosexual / straight","180","175","91530","84610"
"In post","2021","Asian","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","SCS level","Unknown","30","25","[c]","[c]"
"In post","2021","Asian","London","SEO/HEO","Heterosexual / straight","3520","3430","38050","36650"
"In post","2021","Asian","London","SEO/HEO","LGBO","85","80","37550","36160"
"In post","2021","Asian","London","SEO/HEO","Undeclared","215","205","38750","38450"
"In post","2021","Asian","London","SEO/HEO","Unknown","325","315","39010","38280"
