"Status","Year","Ethnicity","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","EO","5","5","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","EO","70","70","28100","27500"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","G6/G7","160","160","58530","56340"
