"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","AO","30","30","22800","21980"
"In post","2021","Declared disabled","Commercial","EO","EO","60","55","26590","26670"
"In post","2021","Declared disabled","Commercial","G6/G7","G6","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","G7","55","55","55290","54540"
"In post","2021","Declared disabled","Commercial","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","HEO","120","115","32250","33000"
"In post","2021","Declared disabled","Commercial","SEO/HEO","SEO","180","175","42180","41760"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","EO","55","55","27510","26780"
"In post","2021","Declared disabled","Communications","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","HEO","75","75","33640","33510"
"In post","2021","Declared disabled","Communications","SEO/HEO","SEO","60","55","41910","42090"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
