"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","EO","25","25","26060","26410"
"In post","2021","16-19","Commercial","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","EO","EO","10","10","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AA/AO","AO","50","50","20140","20140"
"In post","2021","16-19","Debt","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA/AO","AO","15","10","20570","20140"
"In post","2021","16-19","Finance","EO","EO","25","25","20800","19040"
"In post","2021","16-19","Grants Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","AA/AO","AO","30","30","21690","21950"
"In post","2021","16-19","Legal","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","AA/AO","AA","100","90","18860","18060"
"In post","2021","16-19","No function","AA/AO","AO","330","315","21150","20140"
"In post","2021","16-19","No function","EO","EO","55","55","24300","24300"
"In post","2021","16-19","No function","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA/AO","AA","15","15","15880","14850"
"In post","2021","16-19","Project Delivery","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","EO","95","95","18390","17780"
"In post","2021","16-19","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","Unknown","15","15","16840","16780"
"In post","2021","16-19","Property","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Property","AA/AO","AO","10","10","21230","20880"
"In post","2021","16-19","Property","EO","EO","10","10","24850","24500"
"In post","2021","16-19","Property","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Security","AA/AO","AA","10","10","19560","19560"
"In post","2021","16-19","Security","AA/AO","AO","10","10","23890","23540"
"In post","2021","16-19","Security","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","AA","65","65","20630","21150"
"In post","2021","16-19","Unknown","AA/AO","AO","245","235","21420","21010"
"In post","2021","16-19","Unknown","EO","EO","60","60","27910","27570"
"In post","2021","16-19","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","40","40","18670","15940"
"In post","2021","20-29","Analysis","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","AA/AO","AO","110","110","21820","21050"
"In post","2021","20-29","Analysis","EO","EO","295","295","26620","26410"
"In post","2021","20-29","Analysis","G6/G7","G6","25","25","64160","66090"
"In post","2021","20-29","Analysis","G6/G7","G7","345","345","53520","53530"
"In post","2021","20-29","Analysis","SEO/HEO","HEO","1260","1255","32960","32540"
"In post","2021","20-29","Analysis","SEO/HEO","SEO","435","430","39610","38630"
"In post","2021","20-29","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","AA/AO","AA","10","10","20060","20350"
"In post","2021","20-29","Commercial","AA/AO","AO","100","95","21420","20920"
"In post","2021","20-29","Commercial","EO","EO","220","220","26010","26440"
"In post","2021","20-29","Commercial","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","G6/G7","G7","70","70","53430","54700"
"In post","2021","20-29","Commercial","SCS level","SCS level","20","20","65340","62010"
"In post","2021","20-29","Commercial","SEO/HEO","HEO","265","265","32090","32910"
"In post","2021","20-29","Commercial","SEO/HEO","SEO","175","170","39240","40000"
"In post","2021","20-29","Commercial","Unknown","Unknown","55","55","28200","26670"
"In post","2021","20-29","Communications","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","20-29","Communications","AA/AO","AO","95","90","22670","22390"
"In post","2021","20-29","Communications","EO","EO","1135","1125","25850","25560"
"In post","2021","20-29","Communications","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","20-29","Communications","G6/G7","G7","65","65","53290","53590"
"In post","2021","20-29","Communications","SEO/HEO","HEO","560","560","33060","31810"
"In post","2021","20-29","Communications","SEO/HEO","SEO","205","205","40600","40070"
"In post","2021","20-29","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","AA/AO","AO","75","70","20450","20140"
"In post","2021","20-29","Counter Fraud","EO","EO","665","665","26610","25560"
"In post","2021","20-29","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","G6/G7","G7","60","60","53950","52580"
"In post","2021","20-29","Counter Fraud","SEO/HEO","HEO","255","255","32530","31810"
"In post","2021","20-29","Counter Fraud","SEO/HEO","SEO","45","45","39330","38630"
"In post","2021","20-29","Debt","AA/AO","AO","905","880","20350","20140"
"In post","2021","20-29","Debt","EO","EO","135","135","25140","25560"
"In post","2021","20-29","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","SEO/HEO","HEO","15","15","31260","31810"
"In post","2021","20-29","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AA/AO","AA","25","25","20660","19730"
"In post","2021","20-29","Digital, Data & Technology","AA/AO","AO","85","85","21760","21590"
"In post","2021","20-29","Digital, Data & Technology","EO","EO","685","680","26670","26130"
"In post","2021","20-29","Digital, Data & Technology","G6/G7","G6","10","10","66000","64590"
"In post","2021","20-29","Digital, Data & Technology","G6/G7","G7","195","195","53570","53680"
"In post","2021","20-29","Digital, Data & Technology","SEO/HEO","HEO","680","675","32600","31810"
"In post","2021","20-29","Digital, Data & Technology","SEO/HEO","SEO","355","355","39890","39120"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Unknown","15","15","27380","25520"
"In post","2021","20-29","Finance","AA/AO","AA","20","20","20040","20200"
"In post","2021","20-29","Finance","AA/AO","AO","200","185","20850","20140"
"In post","2021","20-29","Finance","EO","EO","370","370","25350","25560"
"In post","2021","20-29","Finance","G6/G7","G6","10","10","64670","64220"
"In post","2021","20-29","Finance","G6/G7","G7","120","120","54340","53930"
"In post","2021","20-29","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SEO/HEO","HEO","365","365","32860","32790"
"In post","2021","20-29","Finance","SEO/HEO","SEO","205","205","40180","40270"
"In post","2021","20-29","Finance","Unknown","Unknown","15","15","29590","29060"
"In post","2021","20-29","Grants Management","AA/AO","AO","165","165","20860","21050"
"In post","2021","20-29","Grants Management","EO","EO","65","65","24800","24920"
"In post","2021","20-29","Grants Management","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","AA/AO","AA","35","35","19750","19560"
"In post","2021","20-29","Human Resources","AA/AO","AO","240","235","21480","20920"
"In post","2021","20-29","Human Resources","EO","EO","415","410","25980","26410"
"In post","2021","20-29","Human Resources","G6/G7","G6","15","15","63530","62170"
"In post","2021","20-29","Human Resources","G6/G7","G7","115","115","53900","53360"
"In post","2021","20-29","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","SEO/HEO","HEO","445","445","31730","31920"
"In post","2021","20-29","Human Resources","SEO/HEO","SEO","120","120","38800","38630"
"In post","2021","20-29","Human Resources","Unknown","Unknown","35","35","26020","23800"
"In post","2021","20-29","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","EO","EO","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","SEO/HEO","HEO","30","30","33650","33420"
"In post","2021","20-29","Internal Audit","SEO/HEO","SEO","10","10","40620","39800"
"In post","2021","20-29","Legal","AA/AO","AA","25","20","20110","20070"
"In post","2021","20-29","Legal","AA/AO","AO","580","570","21740","21950"
"In post","2021","20-29","Legal","EO","EO","540","530","27430","26970"
"In post","2021","20-29","Legal","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","G6/G7","G7","195","195","51590","51250"
"In post","2021","20-29","Legal","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","SEO/HEO","HEO","365","365","34220","31810"
