"Status","Year","Disability","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","London","50","50","46860","42020"
"In post","2021","Declared disabled","Analysis","Economics","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Outside London","45","40","31100","31090"
"In post","2021","Declared disabled","Analysis","Operational Research","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Outside London","55","55","38250","37320"
"In post","2021","Declared disabled","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Outside London","40","40","31710","29270"
"In post","2021","Declared disabled","Analysis","Social Research","London","30","30","46460","42470"
"In post","2021","Declared disabled","Analysis","Social Research","Outside London","60","55","37370","37020"
"In post","2021","Declared disabled","Analysis","Statistics","London","70","65","44950","41630"
"In post","2021","Declared disabled","Analysis","Statistics","Outside London","85","80","40940","37020"
"In post","2021","Declared disabled","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","London","65","60","43670","40650"
"In post","2021","Declared disabled","Commercial","Commercial","Outside London","315","300","38030","37040"
"In post","2021","Declared disabled","Commercial","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
