"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","AA/AO","170","155","22800","23520"
"In post","2021","Asian","Attorney General's Departments","EO","170","160","27960","27580"
"In post","2021","Asian","Attorney General's Departments","G6/G7","415","380","56880","54200"
"In post","2021","Asian","Attorney General's Departments","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","135","130","37090","38090"
"In post","2021","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AA/AO","20","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","80","75","27800","27500"
"In post","2021","Asian","Cabinet Office","G6/G7","170","170","58360","56340"
"In post","2021","Asian","Cabinet Office","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO/HEO","175","170","36950","35590"
"In post","2021","Asian","Chancellor's other departments","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","EO","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","G6/G7","35","35","66330","66030"
"In post","2021","Asian","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
