"Status","Year","Organisation","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Unknown","30","25","27060","22230"
"In post","2021","Accountant in Bankruptcy","Scotland","Glasgow City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Heterosexual / straight","40","35","33820","32650"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Unknown","40","40","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","Heterosexual / straight","30","25","35170","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","Heterosexual / straight","130","125","42740","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","Undeclared","30","30","42960","40890"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","Unknown","35","35","41580","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","Heterosexual / straight","80","75","31310","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","Unknown","40","35","26030","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","Heterosexual / straight","85","75","31330","31140"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","LGBO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","Undeclared","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","Unknown","35","35","26470","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","Heterosexual / straight","70","65","31930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","Unknown","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","Heterosexual / straight","40","35","34480","33370"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","Heterosexual / straight","50","45","32330","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","LGBO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","Unknown","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","Heterosexual / straight","45","40","32630","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","Unknown","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","Heterosexual / straight","40","35","35250","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","Unknown","15","15","[c]","[c]"
