"Status","Year","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","15","15","38790","38180"
"In post","2021","Analysis","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","25","25","41800","35070"
"In post","2021","Analysis","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other","175","165","69320","65470"
"In post","2021","Analysis","Chancellor's other departments","Social Research","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","95","90","62530","59510"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","35","35","53090","46940"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","210","210","41510","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","20","20","50010","46050"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","20","20","51720","56550"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","20","20","49380","53380"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","50","50","45030","42290"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","75","75","53810","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","20","20","41850","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","25","25","56490","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","20","20","49200","43280"
"In post","2021","Analysis","Department for Education","Digital, Data and Technology","150","145","44060","42420"
"In post","2021","Analysis","Department for Education","Policy","260","245","44540","45250"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","35","30","31320","29690"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","480","455","33720","29750"
