"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Commercial","AA/AO","110","105","21280","20920"
"In post","2021","20-29","Commercial","EO","220","220","26010","26440"
"In post","2021","20-29","Commercial","G6/G7","75","75","54940","54700"
"In post","2021","20-29","Commercial","SCS level","20","20","65340","62010"
"In post","2021","20-29","Commercial","SEO/HEO","440","440","34910","34550"
"In post","2021","20-29","Commercial","Unknown","55","55","28200","26670"
"In post","2021","20-29","Communications","AA/AO","100","100","22470","21630"
"In post","2021","20-29","Communications","EO","1135","1125","25850","25560"
"In post","2021","20-29","Communications","G6/G7","70","70","54220","54620"
"In post","2021","20-29","Communications","SEO/HEO","765","765","35080","33210"
"In post","2021","20-29","Counter Fraud","AA/AO","75","70","20430","20140"
"In post","2021","20-29","Counter Fraud","EO","665","665","26610","25560"
"In post","2021","20-29","Counter Fraud","G6/G7","60","60","54120","52580"
"In post","2021","20-29","Counter Fraud","SEO/HEO","305","300","33580","31810"
"In post","2021","20-29","Debt","AA/AO","905","880","20350","20140"
"In post","2021","20-29","Debt","EO","135","135","25140","25560"
"In post","2021","20-29","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","SEO/HEO","15","15","32060","31810"
"In post","2021","20-29","Digital, Data & Technology","AA/AO","110","110","21520","21040"
"In post","2021","20-29","Digital, Data & Technology","EO","685","680","26670","26130"
"In post","2021","20-29","Digital, Data & Technology","G6/G7","205","205","54170","54700"
"In post","2021","20-29","Digital, Data & Technology","SEO/HEO","1040","1035","35100","33930"
"In post","2021","20-29","Digital, Data & Technology","Unknown","15","15","27380","25520"
"In post","2021","20-29","Finance","AA/AO","220","200","20780","20140"
"In post","2021","20-29","Finance","EO","370","370","25350","25560"
"In post","2021","20-29","Finance","G6/G7","130","130","55120","54420"
"In post","2021","20-29","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SEO/HEO","575","570","35490","33930"
"In post","2021","20-29","Finance","Unknown","15","15","29590","29060"
"In post","2021","20-29","Grants Management","AA/AO","165","165","20860","21050"
"In post","2021","20-29","Grants Management","EO","65","65","24800","24920"
"In post","2021","20-29","Grants Management","SEO/HEO","10","10","31580","30040"
"In post","2021","20-29","Human Resources","AA/AO","275","265","21260","20920"
"In post","2021","20-29","Human Resources","EO","415","410","25980","26410"
"In post","2021","20-29","Human Resources","G6/G7","125","125","54960","54070"
"In post","2021","20-29","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","SEO/HEO","570","565","33230","32120"
"In post","2021","20-29","Human Resources","Unknown","35","35","26020","23800"
"In post","2021","20-29","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","EO","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","SEO/HEO","40","40","35440","33930"
"In post","2021","20-29","Legal","AA/AO","600","590","21680","21950"
"In post","2021","20-29","Legal","EO","540","530","27430","26970"
"In post","2021","20-29","Legal","G6/G7","200","200","51950","51250"
"In post","2021","20-29","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","SEO/HEO","505","505","35020","35230"
"In post","2021","20-29","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","AA/AO","15590","15190","23010","21590"
"In post","2021","20-29","No function","EO","5935","5885","27140","26510"
"In post","2021","20-29","No function","G6/G7","2325","2315","54510","53380"
"In post","2021","20-29","No function","SCS level","15","15","78190","74250"
"In post","2021","20-29","No function","SEO/HEO","10045","9990","33540","32790"
"In post","2021","20-29","No function","Unknown","2115","2070","25280","22920"
"In post","2021","20-29","Project Delivery","AA/AO","140","140","21590","21080"
"In post","2021","20-29","Project Delivery","EO","1370","1355","23890","25310"
"In post","2021","20-29","Project Delivery","G6/G7","285","285","52800","53380"
"In post","2021","20-29","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","SEO/HEO","2120","2110","33480","33000"
"In post","2021","20-29","Project Delivery","Unknown","295","290","29410","28630"
"In post","2021","20-29","Property","AA/AO","325","320","21470","21050"
"In post","2021","20-29","Property","EO","300","285","26160","25860"
"In post","2021","20-29","Property","G6/G7","10","10","54940","54700"
"In post","2021","20-29","Property","SEO/HEO","290","285","34210","33300"
"In post","2021","20-29","Property","Unknown","20","20","24360","21600"
"In post","2021","20-29","Security","AA/AO","865","865","24620","24610"
"In post","2021","20-29","Security","EO","160","160","26900","26670"
"In post","2021","20-29","Security","G6/G7","25","25","56010","54700"
"In post","2021","20-29","Security","SEO/HEO","190","190","35400","34550"
"In post","2021","20-29","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","6855","6615","21620","21010"
"In post","2021","20-29","Unknown","EO","9305","9185","27810","27570"
"In post","2021","20-29","Unknown","G6/G7","460","460","56400","57430"
"In post","2021","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","3390","3370","35790","35070"
"In post","2021","20-29","Unknown","Unknown","415","415","29070","28980"
"In post","2021","30-39","Analysis","AA/AO","20","20","20810","21050"
"In post","2021","30-39","Analysis","EO","125","120","25490","24920"
"In post","2021","30-39","Analysis","G6/G7","885","850","57730","55840"
"In post","2021","30-39","Analysis","SCS level","30","30","76600","74950"
"In post","2021","30-39","Analysis","SEO/HEO","990","955","36400","36790"
"In post","2021","30-39","Commercial","AA/AO","65","60","21530","21020"
"In post","2021","30-39","Commercial","EO","160","150","26430","26670"
"In post","2021","30-39","Commercial","G6/G7","345","335","58520","54700"
"In post","2021","30-39","Commercial","SCS level","110","110","74700","68000"
"In post","2021","30-39","Commercial","SEO/HEO","790","765","37460","37240"
"In post","2021","30-39","Commercial","Unknown","60","60","38410","38260"
"In post","2021","30-39","Communications","AA/AO","85","75","20910","20660"
"In post","2021","30-39","Communications","EO","870","840","25570","25560"
"In post","2021","30-39","Communications","G6/G7","385","375","57290","55140"
"In post","2021","30-39","Communications","SCS level","20","20","87030","78830"
"In post","2021","30-39","Communications","SEO/HEO","1090","1065","35930","33580"
"In post","2021","30-39","Counter Fraud","AA/AO","90","85","20730","20140"
"In post","2021","30-39","Counter Fraud","EO","870","845","26310","25560"
"In post","2021","30-39","Counter Fraud","G6/G7","245","240","55120","52580"
"In post","2021","30-39","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Counter Fraud","SEO/HEO","855","835","33840","31810"
"In post","2021","30-39","Debt","AA/AO","665","605","20390","20140"
"In post","2021","30-39","Debt","EO","145","135","25280","25560"
"In post","2021","30-39","Debt","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Debt","SEO/HEO","40","40","32720","31810"
"In post","2021","30-39","Digital, Data & Technology","AA/AO","85","80","21510","21440"
"In post","2021","30-39","Digital, Data & Technology","EO","490","475","27160","26590"
"In post","2021","30-39","Digital, Data & Technology","G6/G7","1010","990","56730","54700"
"In post","2021","30-39","Digital, Data & Technology","SCS level","35","35","85940","83100"
"In post","2021","30-39","Digital, Data & Technology","SEO/HEO","1830","1795","36710","36520"
"In post","2021","30-39","Digital, Data & Technology","Unknown","10","10","31880","33250"
"In post","2021","30-39","Finance","AA/AO","170","150","21040","20700"
"In post","2021","30-39","Finance","EO","295","275","26170","26320"
"In post","2021","30-39","Finance","G6/G7","560","545","57990","56510"
"In post","2021","30-39","Finance","SCS level","35","35","81940","78000"
"In post","2021","30-39","Finance","SEO/HEO","835","810","36480","36520"
"In post","2021","30-39","Finance","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Grants Management","AA/AO","190","170","21010","21050"
"In post","2021","30-39","Grants Management","EO","115","105","25070","25190"
"In post","2021","30-39","Grants Management","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Grants Management","SEO/HEO","55","50","31610","30040"
"In post","2021","30-39","Human Resources","AA/AO","335","300","21130","20920"
"In post","2021","30-39","Human Resources","EO","410","385","26240","26350"
"In post","2021","30-39","Human Resources","G6/G7","430","415","57140","54990"
"In post","2021","30-39","Human Resources","SCS level","30","25","79750","74850"
"In post","2021","30-39","Human Resources","SEO/HEO","960","925","35550","34720"
"In post","2021","30-39","Human Resources","Unknown","50","45","32830","30680"
"In post","2021","30-39","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","EO","10","10","27480","26670"
"In post","2021","30-39","Internal Audit","G6/G7","35","35","55010","53070"
"In post","2021","30-39","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","SEO/HEO","85","80","37800","38630"
"In post","2021","30-39","Legal","AA/AO","395","355","22140","22820"
"In post","2021","30-39","Legal","EO","475","445","27720","27440"
"In post","2021","30-39","Legal","G6/G7","1665","1585","56510","52580"
"In post","2021","30-39","Legal","SCS level","40","40","80170","78420"
"In post","2021","30-39","Legal","SEO/HEO","805","770","37450","36630"
"In post","2021","30-39","No function","AA/AO","14680","13505","23350","21590"
"In post","2021","30-39","No function","EO","6930","6635","27970","26780"
"In post","2021","30-39","No function","G6/G7","6140","5995","56690","54560"
"In post","2021","30-39","No function","SCS level","610","585","78270","74100"
"In post","2021","30-39","No function","SEO/HEO","10820","10505","35920","35080"
"In post","2021","30-39","No function","Unknown","2855","2625","29150","30210"
"In post","2021","30-39","Project Delivery","AA/AO","70","65","21330","21050"
"In post","2021","30-39","Project Delivery","EO","755","710","24780","25560"
"In post","2021","30-39","Project Delivery","G6/G7","1795","1760","55590","54540"
"In post","2021","30-39","Project Delivery","SCS level","85","85","81730","76980"
"In post","2021","30-39","Project Delivery","SEO/HEO","3275","3180","35920","36160"
"In post","2021","30-39","Project Delivery","Unknown","330","325","40860","39910"
"In post","2021","30-39","Property","AA/AO","335","310","22240","21100"
"In post","2021","30-39","Property","EO","330","310","26930","26220"
"In post","2021","30-39","Property","G6/G7","195","190","55320","54540"
"In post","2021","30-39","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","SEO/HEO","660","645","36300","35900"
"In post","2021","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","AA/AO","970","960","28580","26610"
"In post","2021","30-39","Security","EO","210","210","33510","29980"
"In post","2021","30-39","Security","G6/G7","80","75","59140","57240"
"In post","2021","30-39","Security","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Security","SEO/HEO","320","315","37780","36670"
"In post","2021","30-39","Security","Unknown","20","15","32660","32690"
"In post","2021","30-39","Unknown","AA/AO","7665","6760","21470","21010"
"In post","2021","30-39","Unknown","EO","13475","12635","27640","27570"
"In post","2021","30-39","Unknown","G6/G7","2755","2670","59120","57460"
"In post","2021","30-39","Unknown","SCS level","145","145","80830","77050"
"In post","2021","30-39","Unknown","SEO/HEO","6930","6695","36770","35310"
"In post","2021","30-39","Unknown","Unknown","540","540","37740","34460"
"In post","2021","40-49","Analysis","AA/AO","10","10","20980","21050"
"In post","2021","40-49","Analysis","EO","120","110","26270","25560"
"In post","2021","40-49","Analysis","G6/G7","675","635","59990","57780"
"In post","2021","40-49","Analysis","SCS level","75","70","84370","78830"
"In post","2021","40-49","Analysis","SEO/HEO","550","510","37250","37320"
"In post","2021","40-49","Commercial","AA/AO","110","100","22210","21580"
"In post","2021","40-49","Commercial","EO","165","160","27000","26670"
"In post","2021","40-49","Commercial","G6/G7","595","585","62220","59370"
"In post","2021","40-49","Commercial","SCS level","220","215","93110","74000"
"In post","2021","40-49","Commercial","SEO/HEO","730","705","38350","38200"
"In post","2021","40-49","Commercial","Unknown","60","55","45680","41930"
"In post","2021","40-49","Communications","AA/AO","105","95","21250","21130"
"In post","2021","40-49","Communications","EO","525","500","25850","25560"
"In post","2021","40-49","Communications","G6/G7","375","355","58410","56660"
"In post","2021","40-49","Communications","SCS level","65","65","86170","80790"
"In post","2021","40-49","Communications","SEO/HEO","755","725","36170","35900"
"In post","2021","40-49","Counter Fraud","AA/AO","185","160","21360","21440"
"In post","2021","40-49","Counter Fraud","EO","705","660","26770","25560"
"In post","2021","40-49","Counter Fraud","G6/G7","260","255","57300","54410"
"In post","2021","40-49","Counter Fraud","SCS level","10","10","80060","79930"
"In post","2021","40-49","Counter Fraud","SEO/HEO","1110","1080","34950","32390"
"In post","2021","40-49","Debt","AA/AO","560","500","20960","20140"
"In post","2021","40-49","Debt","EO","215","200","26530","25560"
"In post","2021","40-49","Debt","G6/G7","10","10","52340","52580"
"In post","2021","40-49","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Debt","SEO/HEO","60","60","33340","31810"
"In post","2021","40-49","Digital, Data & Technology","AA/AO","75","70","21820","21580"
"In post","2021","40-49","Digital, Data & Technology","EO","450","435","27660","26750"
"In post","2021","40-49","Digital, Data & Technology","G6/G7","1285","1260","57890","56340"
"In post","2021","40-49","Digital, Data & Technology","SCS level","120","120","91690","84450"
"In post","2021","40-49","Digital, Data & Technology","SEO/HEO","1875","1825","37850","38450"
"In post","2021","40-49","Digital, Data & Technology","Unknown","30","30","39650","38730"
"In post","2021","40-49","Finance","AA/AO","275","235","21240","21180"
"In post","2021","40-49","Finance","EO","365","345","26690","26670"
"In post","2021","40-49","Finance","G6/G7","685","670","58650","57540"
"In post","2021","40-49","Finance","SCS level","115","115","88720","81780"
"In post","2021","40-49","Finance","SEO/HEO","1025","990","37460","37100"
"In post","2021","40-49","Finance","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Grants Management","AA/AO","275","240","21050","21050"
"In post","2021","40-49","Grants Management","EO","165","150","25610","25600"
"In post","2021","40-49","Grants Management","G6/G7","20","20","52270","49350"
"In post","2021","40-49","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Grants Management","SEO/HEO","125","115","32610","31040"
"In post","2021","40-49","Human Resources","AA/AO","305","270","21420","21130"
"In post","2021","40-49","Human Resources","EO","370","345","26910","26570"
"In post","2021","40-49","Human Resources","G6/G7","615","595","57170","55550"
"In post","2021","40-49","Human Resources","SCS level","95","95","88360","81330"
"In post","2021","40-49","Human Resources","SEO/HEO","995","950","37050","36800"
"In post","2021","40-49","Human Resources","Unknown","65","60","41580","39860"
"In post","2021","40-49","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2021","40-49","Internal Audit","EO","10","5","[c]","[c]"
"In post","2021","40-49","Internal Audit","G6/G7","55","55","58410","57010"
"In post","2021","40-49","Internal Audit","SCS level","10","10","86150","87870"
"In post","2021","40-49","Internal Audit","SEO/HEO","100","100","40950","41300"
"In post","2021","40-49","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","AA/AO","495","435","22430","22820"
"In post","2021","40-49","Legal","EO","525","480","28260","28430"
"In post","2021","40-49","Legal","G6/G7","1975","1800","59640","58590"
"In post","2021","40-49","Legal","SCS level","175","170","85320","80620"
"In post","2021","40-49","Legal","SEO/HEO","830","760","39120","38300"
"In post","2021","40-49","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","AA/AO","13150","11910","23270","21500"
"In post","2021","40-49","No function","EO","6745","6380","28220","27130"
"In post","2021","40-49","No function","G6/G7","5865","5650","58500","56350"
"In post","2021","40-49","No function","SCS level","1155","1105","87850","80000"
"In post","2021","40-49","No function","SEO/HEO","9765","9370","37840","36960"
"In post","2021","40-49","No function","Unknown","2960","2710","32010","32690"
"In post","2021","40-49","Project Delivery","AA/AO","95","85","21760","21440"
"In post","2021","40-49","Project Delivery","EO","735","690","25580","26350"
"In post","2021","40-49","Project Delivery","G6/G7","2345","2290","57610","56240"
"In post","2021","40-49","Project Delivery","SCS level","255","250","88490","81000"
"In post","2021","40-49","Project Delivery","SEO/HEO","3035","2935","36830","37530"
"In post","2021","40-49","Project Delivery","Unknown","275","270","47900","45490"
"In post","2021","40-49","Property","AA/AO","430","400","21840","21100"
"In post","2021","40-49","Property","EO","410","385","27580","26670"
"In post","2021","40-49","Property","G6/G7","320","315","56590","54990"
"In post","2021","40-49","Property","SCS level","25","25","86940","79700"
"In post","2021","40-49","Property","SEO/HEO","855","825","36790","36150"
"In post","2021","40-49","Security","AA/AO","1040","1035","28430","22650"
"In post","2021","40-49","Security","EO","235","230","33700","30550"
"In post","2021","40-49","Security","G6/G7","115","110","60320","58060"
"In post","2021","40-49","Security","SCS level","20","20","86530","78810"
"In post","2021","40-49","Security","SEO/HEO","325","320","38820","36480"
"In post","2021","40-49","Security","Unknown","25","25","39040","37170"
"In post","2021","40-49","Unknown","AA/AO","10115","8775","21370","21010"
"In post","2021","40-49","Unknown","EO","16645","15315","27820","27570"
"In post","2021","40-49","Unknown","G6/G7","3950","3790","61050","60740"
"In post","2021","40-49","Unknown","SCS level","550","535","87880","81760"
"In post","2021","40-49","Unknown","SEO/HEO","8525","8185","37210","36300"
"In post","2021","40-49","Unknown","Unknown","555","555","39620","35380"
"In post","2021","50-59","Analysis","AA/AO","35","30","21690","21050"
"In post","2021","50-59","Analysis","EO","115","110","27090","26780"
"In post","2021","50-59","Analysis","G6/G7","400","385","60740","58130"
"In post","2021","50-59","Analysis","SCS level","45","45","100210","89110"
"In post","2021","50-59","Analysis","SEO/HEO","380","360","37230","37280"
"In post","2021","50-59","Commercial","AA/AO","170","160","22780","21890"
"In post","2021","50-59","Commercial","EO","220","210","27560","26930"
"In post","2021","50-59","Commercial","G6/G7","610","605","62600","60110"
"In post","2021","50-59","Commercial","SCS level","210","205","104650","94480"
"In post","2021","50-59","Commercial","SEO/HEO","880","865","40000","40000"
"In post","2021","50-59","Commercial","Unknown","55","55","51860","48230"
"In post","2021","50-59","Communications","AA/AO","140","125","21090","21370"
"In post","2021","50-59","Communications","EO","485","460","25990","25560"
"In post","2021","50-59","Communications","G6/G7","195","195","59710","59160"
"In post","2021","50-59","Communications","SCS level","40","40","94910","82250"
"In post","2021","50-59","Communications","SEO/HEO","570","555","35730","34320"
"In post","2021","50-59","Counter Fraud","AA/AO","340","300","21820","21440"
"In post","2021","50-59","Counter Fraud","EO","870","815","27700","28130"
"In post","2021","50-59","Counter Fraud","G6/G7","420","410","58470","58130"
"In post","2021","50-59","Counter Fraud","SCS level","25","25","88120","79900"
"In post","2021","50-59","Counter Fraud","SEO/HEO","1550","1495","36050","36160"
"In post","2021","50-59","Debt","AA/AO","825","725","21580","21440"
"In post","2021","50-59","Debt","EO","315","290","27840","28130"
"In post","2021","50-59","Debt","G6/G7","25","25","59090","52580"
"In post","2021","50-59","Debt","SEO/HEO","90","85","35370","35000"
"In post","2021","50-59","Digital, Data & Technology","AA/AO","105","100","22310","21580"
"In post","2021","50-59","Digital, Data & Technology","EO","475","455","28450","27300"
"In post","2021","50-59","Digital, Data & Technology","G6/G7","990","970","57870","56100"
"In post","2021","50-59","Digital, Data & Technology","SCS level","80","80","91080","85650"
"In post","2021","50-59","Digital, Data & Technology","SEO/HEO","1665","1615","38190","38450"
"In post","2021","50-59","Digital, Data & Technology","Unknown","25","25","40920","41480"
"In post","2021","50-59","Finance","AA/AO","545","460","21200","21440"
"In post","2021","50-59","Finance","EO","470","440","27190","26710"
"In post","2021","50-59","Finance","G6/G7","605","595","59970","59000"
"In post","2021","50-59","Finance","SCS level","100","100","94960","89140"
"In post","2021","50-59","Finance","SEO/HEO","1085","1060","38120","38200"
"In post","2021","50-59","Finance","Unknown","15","15","61480","56030"
"In post","2021","50-59","Grants Management","AA/AO","210","190","21050","21050"
"In post","2021","50-59","Grants Management","EO","130","125","25930","26320"
"In post","2021","50-59","Grants Management","G6/G7","30","30","52550","49830"
"In post","2021","50-59","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Grants Management","SEO/HEO","120","115","33010","31780"
"In post","2021","50-59","Human Resources","AA/AO","470","430","21470","21440"
"In post","2021","50-59","Human Resources","EO","445","425","27160","26700"
"In post","2021","50-59","Human Resources","G6/G7","640","630","59070","58130"
"In post","2021","50-59","Human Resources","SCS level","85","85","90650","84850"
"In post","2021","50-59","Human Resources","SEO/HEO","1080","1045","37740","37000"
"In post","2021","50-59","Human Resources","Unknown","65","65","45090","39280"
"In post","2021","50-59","Internal Audit","AA/AO","10","10","28890","31650"
"In post","2021","50-59","Internal Audit","EO","15","15","28790","27920"
"In post","2021","50-59","Internal Audit","G6/G7","95","95","60670","59730"
"In post","2021","50-59","Internal Audit","SCS level","15","15","94200","87720"
"In post","2021","50-59","Internal Audit","SEO/HEO","185","175","42130","41400"
"In post","2021","50-59","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Legal","AA/AO","735","655","22170","21950"
"In post","2021","50-59","Legal","EO","705","650","28550","28430"
"In post","2021","50-59","Legal","G6/G7","1725","1615","62020","61750"
"In post","2021","50-59","Legal","SCS level","205","200","92410","84710"
"In post","2021","50-59","Legal","SEO/HEO","965","900","39940","38760"
"In post","2021","50-59","Legal","Unknown","5","5","[c]","[c]"
"In post","2021","50-59","No function","AA/AO","18005","16120","23350","21440"
"In post","2021","50-59","No function","EO","9995","9425","28860","27460"
"In post","2021","50-59","No function","G6/G7","5460","5335","60550","58810"
"In post","2021","50-59","No function","SCS level","935","910","97560","93000"
"In post","2021","50-59","No function","SEO/HEO","11570","11105","38510","37650"
"In post","2021","50-59","No function","Unknown","2810","2625","31490","30210"
"In post","2021","50-59","Project Delivery","AA/AO","200","190","22000","21490"
"In post","2021","50-59","Project Delivery","EO","1150","1095","25840","26670"
"In post","2021","50-59","Project Delivery","G6/G7","2485","2445","58490","56730"
"In post","2021","50-59","Project Delivery","SCS level","295","290","95020","86660"
"In post","2021","50-59","Project Delivery","SEO/HEO","4025","3920","37330","37860"
"In post","2021","50-59","Project Delivery","Unknown","320","320","50640","47170"
"In post","2021","50-59","Property","AA/AO","765","720","21430","21100"
"In post","2021","50-59","Property","EO","640","615","27980","26670"
"In post","2021","50-59","Property","G6/G7","585","580","58330","56360"
"In post","2021","50-59","Property","SCS level","50","50","93510","82150"
"In post","2021","50-59","Property","SEO/HEO","1285","1255","38240","37380"
"In post","2021","50-59","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Security","AA/AO","1920","1895","26890","20920"
"In post","2021","50-59","Security","EO","435","430","34640","32270"
"In post","2021","50-59","Security","G6/G7","135","130","60810","57400"
"In post","2021","50-59","Security","SCS level","20","20","94330","85990"
"In post","2021","50-59","Security","SEO/HEO","605","600","41850","38160"
"In post","2021","50-59","Security","Unknown","15","15","40010","41020"
"In post","2021","50-59","Unknown","AA/AO","16005","14245","21300","21010"
"In post","2021","50-59","Unknown","EO","22725","20775","28030","27570"
"In post","2021","50-59","Unknown","G6/G7","4025","3920","61640","60830"
"In post","2021","50-59","Unknown","SCS level","520","510","93040","84710"
"In post","2021","50-59","Unknown","SEO/HEO","10235","9910","37190","35530"
"In post","2021","50-59","Unknown","Unknown","700","695","42140","37310"
"In post","2021","60-64","Analysis","AA/AO","10","10","21590","21050"
"In post","2021","60-64","Analysis","EO","30","25","27340","27160"
"In post","2021","60-64","Analysis","G6/G7","60","55","60890","56780"
"In post","2021","60-64","Analysis","SCS level","5","5","[c]","[c]"
"In post","2021","60-64","Analysis","SEO/HEO","75","60","37740","37320"
"In post","2021","60-64","Commercial","AA/AO","45","40","22310","21580"
"In post","2021","60-64","Commercial","EO","65","60","27520","26780"
"In post","2021","60-64","Commercial","G6/G7","95","85","64560","61480"
"In post","2021","60-64","Commercial","SCS level","20","20","96680","90000"
"In post","2021","60-64","Commercial","SEO/HEO","165","150","40370","40380"
"In post","2021","60-64","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","60-64","Communications","AA/AO","50","40","21530","21440"
"In post","2021","60-64","Communications","EO","135","115","25980","26700"
"In post","2021","60-64","Communications","G6/G7","35","30","61010","62850"
"In post","2021","60-64","Communications","SCS level","5","5","[c]","[c]"
"In post","2021","60-64","Communications","SEO/HEO","90","85","35920","35030"
"In post","2021","60-64","Counter Fraud","AA/AO","115","90","21770","21440"
"In post","2021","60-64","Counter Fraud","EO","250","190","28040","28130"
"In post","2021","60-64","Counter Fraud","G6/G7","95","75","60220","58250"
"In post","2021","60-64","Counter Fraud","SEO/HEO","325","250","36640","35240"
"In post","2021","60-64","Debt","AA/AO","305","235","21810","21440"
"In post","2021","60-64","Debt","EO","115","85","28020","28130"
"In post","2021","60-64","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Debt","SEO/HEO","25","20","37830","35000"
"In post","2021","60-64","Digital, Data & Technology","AA/AO","40","35","22590","21590"
"In post","2021","60-64","Digital, Data & Technology","EO","135","120","27810","27100"
