"Status","Year","Age","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Other","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Other","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","EO","20","20","17870","17780"
"In post","2021","16-19","Other","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Other","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","EO","20","20","24720","24540"
"In post","2021","16-19","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Property","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","EO","10","10","17080","16780"
"In post","2021","16-19","Science and Engineering","South East (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South West (England)","AA/AO","20","20","17520","17710"
"In post","2021","16-19","Science and Engineering","South West (England)","EO","50","50","17910","17780"
"In post","2021","16-19","Science and Engineering","South West (England)","Unknown","15","15","16840","16780"
"In post","2021","16-19","Science and Engineering","Wales","AA/AO","15","15","15960","15820"
"In post","2021","16-19","Science and Engineering","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North East (England)","AA/AO","35","35","20140","20140"
"In post","2021","16-19","Tax","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","AA/AO","35","35","20140","20140"
"In post","2021","16-19","Tax","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","AA/AO","20","20","20140","20140"
"In post","2021","16-19","Tax","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Wales","AA/AO","15","10","20140","20140"
"In post","2021","16-19","Tax","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","West Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Tax","Yorkshire and The Humber","AA/AO","20","20","20140","20140"
"In post","2021","16-19","Unknown","East Midlands (England)","AA/AO","10","10","21010","21010"
"In post","2021","16-19","Unknown","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","AA/AO","10","10","24460","24490"
"In post","2021","16-19","Unknown","London","EO","15","10","29050","31060"
"In post","2021","16-19","Unknown","North East (England)","AA/AO","40","40","20850","21010"
"In post","2021","16-19","Unknown","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","AA/AO","35","35","20960","21010"
"In post","2021","16-19","Unknown","Scotland","AA/AO","85","85","20840","21010"
"In post","2021","16-19","Unknown","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","South East (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Wales","AA/AO","15","15","20950","21010"
"In post","2021","16-19","Unknown","Wales","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands (England)","AA/AO","10","10","20840","21010"
"In post","2021","16-19","Unknown","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","AA/AO","30","30","20830","21010"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","EO","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","SEO/HEO","15","15","30820","29720"
"In post","2021","20-29","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","EO","30","30","28340","28350"
"In post","2021","20-29","Commercial","London","G6/G7","20","20","55180","53360"
"In post","2021","20-29","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","SEO/HEO","85","85","37380","37160"
"In post","2021","20-29","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","EO","20","20","24250","25000"
"In post","2021","20-29","Commercial","North West (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","SEO/HEO","45","45","32480","32500"
"In post","2021","20-29","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","AA/AO","20","15","21130","20810"
"In post","2021","20-29","Commercial","Scotland","EO","10","10","27080","26610"
"In post","2021","20-29","Commercial","Scotland","SEO/HEO","15","15","35530","34190"
"In post","2021","20-29","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","South East (England)","EO","25","25","25500","26350"
"In post","2021","20-29","Commercial","South East (England)","SEO/HEO","30","30","34940","34500"
"In post","2021","20-29","Commercial","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","South West (England)","AA/AO","15","15","20900","20920"
"In post","2021","20-29","Commercial","South West (England)","EO","100","100","22970","22780"
"In post","2021","20-29","Commercial","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","South West (England)","SEO/HEO","195","195","32800","33000"
