"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","London","AA/AO","415","390","23220","23520"
"In post","2021","Attorney General's Departments","London","EO","740","705","28640","27760"
"In post","2021","Attorney General's Departments","London","G6/G7","2550","2365","60350","61360"
"In post","2021","Attorney General's Departments","London","SCS level","255","245","87160","81420"
"In post","2021","Attorney General's Departments","London","SEO/HEO","715","695","37480","38290"
"In post","2021","Attorney General's Departments","London","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","Outside London","AA/AO","1120","1020","21980","21950"
"In post","2021","Attorney General's Departments","Outside London","EO","1020","940","27630","28430"
"In post","2021","Attorney General's Departments","Outside London","G6/G7","2215","2035","56380","55610"
"In post","2021","Attorney General's Departments","Outside London","SCS level","55","50","89490","84350"
"In post","2021","Attorney General's Departments","Outside London","SEO/HEO","740","710","35760","36240"
"In post","2021","Attorney General's Departments","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Cabinet Office","London","AA/AO","140","135","24470","24490"
"In post","2021","Cabinet Office","London","EO","600","590","27960","27500"
"In post","2021","Cabinet Office","London","G6/G7","2370","2325","59810","56470"
"In post","2021","Cabinet Office","London","SCS level","760","745","94650","80420"
"In post","2021","Cabinet Office","London","SEO/HEO","2630","2610","34120","34550"
"In post","2021","Cabinet Office","Outside London","AA/AO","390","360","20890","20800"
"In post","2021","Cabinet Office","Outside London","EO","260","245","25570","25600"
"In post","2021","Cabinet Office","Outside London","G6/G7","580","565","59060","53320"
"In post","2021","Cabinet Office","Outside London","SCS level","190","190","82130","72000"
"In post","2021","Cabinet Office","Outside London","SEO/HEO","930","905","33390","33300"
"In post","2021","Cabinet Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AA/AO","20","20","21040","20800"
"In post","2021","Cabinet Office","Unknown","EO","25","25","26220","27500"
"In post","2021","Cabinet Office","Unknown","G6/G7","80","75","57410","54700"
"In post","2021","Cabinet Office","Unknown","SCS level","20","20","95890","76390"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","455","455","31530","32000"
"In post","2021","Chancellor's other departments","London","AA/AO","20","20","23330","23010"
"In post","2021","Chancellor's other departments","London","EO","35","35","30060","29620"
"In post","2021","Chancellor's other departments","London","G6/G7","165","155","77590","72060"
"In post","2021","Chancellor's other departments","London","SCS level","15","15","118000","110000"
"In post","2021","Chancellor's other departments","London","SEO/HEO","125","120","41610","42080"
"In post","2021","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G6/G7","20","20","67100","61840"
"In post","2021","Chancellor's other departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SEO/HEO","25","25","40710","40290"
"In post","2021","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","25","25","55540","52270"
"In post","2021","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO/HEO","35","35","34140","37910"
"In post","2021","Charity Commission","Outside London","AA/AO","15","15","20150","20080"
"In post","2021","Charity Commission","Outside London","EO","105","95","24780","24440"
"In post","2021","Charity Commission","Outside London","G6/G7","40","40","55810","54360"
"In post","2021","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SEO/HEO","200","190","32820","29990"
"In post","2021","Competition and Markets Authority","London","AA/AO","25","25","23300","22860"
"In post","2021","Competition and Markets Authority","London","EO","70","70","28600","28160"
"In post","2021","Competition and Markets Authority","London","G6/G7","395","375","66620","64220"
"In post","2021","Competition and Markets Authority","London","SCS level","110","105","109740","101590"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","185","180","37880","35660"
"In post","2021","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G6/G7","35","35","62670","56650"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SEO/HEO","15","15","37060","34870"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA/AO","150","145","25280","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","415","410","28720","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6/G7","2360","2300","59000","56990"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS level","330","315","83830","75880"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","2360","2325","38240","39080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","1340","1230","21210","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","EO","1525","1445","25850","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","1250","1195","55550","55600"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","65","60","82150","75150"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","3320","3165","37490","37740"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","EO","[c]","[c]","[c]","[c]"
