"Status","Year","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","30","30","25610","26250"
"In post","2021","16-19","Commercial","15","15","22130","21150"
"In post","2021","16-19","Communications","15","15","25350","25560"
"In post","2021","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","50","50","20240","20140"
"In post","2021","16-19","Digital, Data & Technology","25","25","21560","21040"
"In post","2021","16-19","Finance","40","35","20650","20140"
"In post","2021","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","15","15","21970","21870"
"In post","2021","16-19","Legal","30","30","21810","21950"
"In post","2021","16-19","No function","495","470","21070","20140"
"In post","2021","16-19","Project Delivery","135","135","18260","17780"
"In post","2021","16-19","Property","40","40","21540","20900"
"In post","2021","16-19","Security","25","25","22600","21580"
"In post","2021","16-19","Unknown","405","395","22020","21010"
"In post","2021","20-29","Analysis","2480","2465","35990","33880"
"In post","2021","20-29","Commercial","925","915","33080","30820"
"In post","2021","20-29","Communications","2070","2060","30080","25560"
"In post","2021","20-29","Counter Fraud","1105","1100","29660","26090"
"In post","2021","20-29","Debt","1060","1035","21240","20140"
"In post","2021","20-29","Digital, Data & Technology","2060","2050","33410","31810"
"In post","2021","20-29","Finance","1310","1290","32130","30230"
"In post","2021","20-29","Grants Management","240","240","22390","21050"
"In post","2021","20-29","Human Resources","1420","1405","30600","28140"
"In post","2021","20-29","Internal Audit","50","50","34990","33930"
"In post","2021","20-29","Legal","1850","1830","30330","26970"
"In post","2021","20-29","No function","36025","35470","28820","26850"
"In post","2021","20-29","Project Delivery","4210","4180","31000","29750"
"In post","2021","20-29","Property","945","920","27250","25860"
"In post","2021","20-29","Security","1240","1235","27150","25680"
"In post","2021","20-29","Unknown","20425","20050","27730","27570"
"In post","2021","30-39","Analysis","2055","1975","45410","42470"
"In post","2021","30-39","Commercial","1530","1480","43080","39650"
"In post","2021","30-39","Communications","2455","2375","35520","31810"
"In post","2021","30-39","Counter Fraud","2060","2005","32740","31810"
"In post","2021","30-39","Debt","855","790","22050","20140"
"In post","2021","30-39","Digital, Data & Technology","3460","3390","41330","38630"
"In post","2021","30-39","Finance","1910","1825","40680","37190"
"In post","2021","30-39","Grants Management","365","330","24280","21050"
"In post","2021","30-39","Human Resources","2215","2100","36320","32120"
"In post","2021","30-39","Internal Audit","135","135","42530","39980"
"In post","2021","30-39","Legal","3380","3195","44190","48080"
"In post","2021","30-39","No function","42035","39855","33410","30450"
"In post","2021","30-39","Project Delivery","6305","6120","40910","38630"
"In post","2021","30-39","Property","1525","1465","33670","32100"
"In post","2021","30-39","Security","1600","1580","32740","31390"
"In post","2021","30-39","Unknown","31515","29450","31300","27570"
"In post","2021","40-49","Analysis","1425","1335","49410","47550"
"In post","2021","40-49","Commercial","1875","1820","50600","44220"
"In post","2021","40-49","Communications","1830","1745","38730","32320"
"In post","2021","40-49","Counter Fraud","2270","2165","34080","31810"
"In post","2021","40-49","Debt","850","775","23890","21440"
"In post","2021","40-49","Digital, Data & Technology","3835","3740","44720","40600"
"In post","2021","40-49","Finance","2475","2360","42430","38630"
"In post","2021","40-49","Grants Management","585","525","25970","24920"
"In post","2021","40-49","Human Resources","2445","2310","40740","37170"
"In post","2021","40-49","Internal Audit","180","175","47930","44570"
"In post","2021","40-49","Legal","4005","3645","47780","50520"
"In post","2021","40-49","No function","39645","37120","35450","31650"
"In post","2021","40-49","Project Delivery","6740","6520","45040","40870"
"In post","2021","40-49","Property","2040","1955","35470","33050"
"In post","2021","40-49","Security","1760","1740","33930","33300"
"In post","2021","40-49","Unknown","40335","37155","32400","27570"
"In post","2021","50-59","Analysis","970","930","48010","43400"
"In post","2021","50-59","Commercial","2140","2100","50400","43080"
"In post","2021","50-59","Communications","1430","1370","35900","31810"
"In post","2021","50-59","Counter Fraud","3205","3045","35600","32030"
"In post","2021","50-59","Debt","1260","1125","24900","21440"
