"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Luton","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","15","15","37730","38830"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","EO","10","10","26790","27030"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","SEO/HEO","35","35","39610","42000"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA/AO","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6/G7","20","20","63200","60580"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","40","40","39430","40330"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
