"Status","Year","Organisation","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Scotland","Southern Scotland","115","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","London","Inner London - West","15","10","42000","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Inner London - West","45","45","47270","47050"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North East (England)","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","London","Inner London - West","10","10","41970","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","London","Inner London - West","15","15","40770","40090"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","Derbyshire and Nottinghamshire","90","85","28930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","East Anglia","40","35","34290","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Inner London - West","95","95","40210","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","Northumberland and Tyne and Wear","130","120","29540","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","Greater Manchester","135","125","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","West Central Scotland","100","90","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","Hampshire and Isle of Wight","30","25","34740","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","50","45","32790","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","East Wales","90","85","30260","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","West Midlands","85","75","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","West Yorkshire","65","60","31440","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
