"Status","Year","Disability","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Derby","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Derby","AO","75","65","20800","21010"
"In post","2021","Declared disabled","East Midlands (England)","Derby","EO","45","40","28000","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derby","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Derby","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Derby","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Derby","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Derby","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","East Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","East Derbyshire","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","East Derbyshire","EO","45","40","27220","27570"
"In post","2021","Declared disabled","East Midlands (England)","East Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","East Derbyshire","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","East Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","East Derbyshire","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","AO","150","130","20790","21010"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","EO","80","75","27270","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicester","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","AA","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","AO","70","60","23260","21590"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","EO","65","60","26800","27380"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","AA","45","45","19520","19560"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","AO","110","95","22670","21130"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","EO","120","110","27710","27570"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","HEO","55","55","33140","33300"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","30","30","33450","33030"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","AO","35","25","21120","21010"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","EO","50","45","27470","27570"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Northamptonshire","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","EO","80","70","27330","27570"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","North Nottinghamshire","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","AA","15","15","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","AO","225","195","21420","20880"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","EO","270","250","26000","26780"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","G7","70","65","53120","52580"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","HEO","160","155","32010","31810"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","SEO","95","90","39840","38680"
"In post","2021","Declared disabled","East Midlands (England)","Nottingham","Unknown","55","50","28570","28200"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","AO","30","30","26090","24470"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","EO","65","60","28140","27570"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South and West Derbyshire","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","AO","40","35","25330","23240"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","EO","30","30","27570","27570"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","AO","60","55","20980","20100"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","EO","40","35","26450","27570"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","West Northamptonshire","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","EO","35","30","27820","27570"
"In post","2021","Declared disabled","East of England","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedford","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","AO","80","75","26250","25850"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","EO","95","85","28020","27570"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","HEO","80","75","33580","33300"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","SEO","40","40","44010","42780"
"In post","2021","Declared disabled","East of England","Cambridgeshire CC","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","East of England","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","AO","35","35","28670","24180"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","EO","75","65","29830","29290"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Thames Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Thames Gateway","AO","70","60","23780","24180"
"In post","2021","Declared disabled","East of England","Essex Thames Gateway","EO","80","75","29930","29290"
"In post","2021","Declared disabled","East of England","Essex Thames Gateway","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex Thames Gateway","G7","[c]","[c]","[c]","[c]"
