"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Outside London","AA/AO","Female","20","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","EO","Female","30","25","28840","29190"
"In post","2021","Accountant in Bankruptcy","Outside London","EO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6/G7","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Female","70","65","40270","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Male","60","60","42890","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Female","30","25","20350","19890"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Female","190","175","24760","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Male","125","125","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Female","270","245","33970","32240"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Male","195","180","34930","34500"
"In post","2021","Animal and Plant Health Agency","London","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","AA/AO","Male","[c]","[c]","[c]","[c]"
