"Status","Year","Organisation","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Southern Scotland","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Unknown","Southern Scotland","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Southern Scotland","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Southern Scotland","SEO/HEO","30","30","38770","35110"
"In post","2021","Accountant in Bankruptcy","Unknown","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Inner London - West","SEO/HEO","10","10","39760","38600"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Northumberland and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
