"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","AO","Heterosexual / straight","265","230","21820","21010"
"In post","2021","East Midlands (England)","Derby","AO","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","AO","Undeclared","50","40","20580","21010"
"In post","2021","East Midlands (England)","Derby","AO","Unknown","150","125","21700","21010"
"In post","2021","East Midlands (England)","Derby","EO","Heterosexual / straight","200","180","27330","27570"
"In post","2021","East Midlands (England)","Derby","EO","LGBO","15","15","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","EO","Undeclared","25","20","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","EO","Unknown","65","60","27270","27570"
"In post","2021","East Midlands (England)","Derby","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SEO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Unknown","Heterosexual / straight","110","100","30340","28930"
"In post","2021","East Midlands (England)","Derby","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","AO","Heterosexual / straight","75","60","20530","21010"
"In post","2021","East Midlands (England)","East Derbyshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","AO","Undeclared","10","5","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","AO","Unknown","15","10","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","EO","Heterosexual / straight","135","120","27380","27570"
"In post","2021","East Midlands (England)","East Derbyshire","EO","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","EO","Undeclared","20","15","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","EO","Unknown","35","30","27270","27570"
"In post","2021","East Midlands (England)","East Derbyshire","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","G7","Unknown","[c]","[c]","[c]","[c]"
