"Status","Year","Ethnicity","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
