"Status","Year","Age","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","EO","10","10","[c]","[c]"
