"Status","Year","Age","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AO","Heterosexual / straight","30","30","22700","21430"
"In post","2021","16-19","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AO","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","East of England","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","London","AO","Heterosexual / straight","30","30","23820","23520"
"In post","2021","16-19","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AO","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","London","EO","Heterosexual / straight","55","55","26510","26330"
