"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Attorney General's Departments","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport","AA/AO","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions","AA/AO","135","135","21200","21010"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions","EO","35","30","28410","27570"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care","AA/AO","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs","AA/AO","70","65","20250","20140"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs","EO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office","AA/AO","30","25","21600","21430"
"In post","2021","16-19","Declared non-disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","AA/AO","45","45","18850","19000"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","EO","70","70","19340","19040"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice","AA/AO","65","65","21940","21360"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice","EO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scottish Government","AA/AO","50","50","20940","21150"
"In post","2021","16-19","Declared non-disabled","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
