"Status","Year","Ethnicity","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","Heterosexual / straight","40","40","28440","27960"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Heterosexual / straight","370","365","47410","41820"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","30","30","31230","32000"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Heterosexual / straight","5","5","[c]","[c]"
