"Status","Year","Ethnicity","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","15","10","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","25","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","20","20","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","20","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","EO","80","75","27800","27500"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","170","170","58360","56340"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","175","170","36950","35590"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","10","5","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","EO","5","5","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","EO","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","G6/G7","35","35","66330","66030"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","40","40","37300","35270"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","EO","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","15","10","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","EO","5","5","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","20","15","[c]","[c]"
