"Status","Year","Parent_department","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","AO","35","30","23150","23520"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","EO","35","30","28870","29400"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","G7","75","65","58480","61200"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","HEO","20","20","37350","38120"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AO","30","25","23270","23520"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","25","25","28240","27440"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G7","55","45","58380","60710"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","20","20","36790","36240"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","G7","10","10","57390","57400"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","HEO","[c]","[c]","[c]","[c]"
