"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","SEO/HEO","65","60","35760","37020"
"In post","2021","Declared disabled","Analysis","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","G6/G7","45","40","59970","59160"
"In post","2021","Declared disabled","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","SEO/HEO","85","85","36980","37020"
"In post","2021","Declared disabled","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","AA/AO","30","30","23450","21840"
"In post","2021","Declared disabled","Commercial","Commercial","EO","45","45","27240","27010"
"In post","2021","Declared disabled","Commercial","Commercial","G6/G7","50","45","59360","57300"
"In post","2021","Declared disabled","Commercial","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","SEO/HEO","225","215","39070","39560"
"In post","2021","Declared disabled","Commercial","Commercial","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","EO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","SEO/HEO","35","35","37050","35300"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","AA/AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","EO","55","50","27430","26780"
"In post","2021","Declared disabled","Communications","Communications","G6/G7","30","30","56140","54430"
"In post","2021","Declared disabled","Communications","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","SEO/HEO","120","115","37300","36800"
"In post","2021","Declared disabled","Communications","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","AA/AO","40","35","20780","20660"
"In post","2021","Declared disabled","Communications","Operational Delivery","EO","40","35","26380","25560"
"In post","2021","Declared disabled","Communications","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","SEO/HEO","45","40","32730","31810"
"In post","2021","Declared disabled","Communications","Other","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","EO","80","70","25840","25560"
"In post","2021","Declared disabled","Communications","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","SEO/HEO","40","40","32760","31810"
"In post","2021","Declared disabled","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","SEO/HEO","35","35","38300","39170"
"In post","2021","Declared disabled","Counter Fraud","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","AA/AO","35","25","21380","20140"
"In post","2021","Declared disabled","Counter Fraud","Legal","EO","95","90","27110","25560"
"In post","2021","Declared disabled","Counter Fraud","Legal","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","SEO/HEO","95","90","35660","35000"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","AA/AO","65","60","21680","21440"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","EO","110","105","27070","25560"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","SEO/HEO","100","90","34450","31870"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","G6/G7","40","40","57870","53300"
"In post","2021","Declared disabled","Counter Fraud","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","SEO/HEO","85","80","34560","32100"
"In post","2021","Declared disabled","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","AA/AO","250","210","21320","21320"
"In post","2021","Declared disabled","Debt","Operational Delivery","EO","75","65","26800","25560"
"In post","2021","Declared disabled","Debt","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","SEO/HEO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","AA/AO","35","35","21710","21130"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","EO","220","210","27590","26740"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","G6/G7","160","155","57900","57050"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","SEO/HEO","420","400","37000","36490"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","G6/G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","SEO/HEO","20","20","[c]","[c]"
