"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","London","AA/AO","Heterosexual / straight","280","265","23360","23520"
"In post","2021","Attorney General's Departments","London","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","London","AA/AO","Unknown","100","90","22930","23520"
"In post","2021","Attorney General's Departments","London","EO","Heterosexual / straight","495","475","28630","27760"
"In post","2021","Attorney General's Departments","London","EO","LGBO","55","50","28930","28960"
"In post","2021","Attorney General's Departments","London","EO","Undeclared","40","40","28690","27650"
"In post","2021","Attorney General's Departments","London","EO","Unknown","145","135","28560","28380"
"In post","2021","Attorney General's Departments","London","G6/G7","Heterosexual / straight","1670","1560","59390","58590"
"In post","2021","Attorney General's Departments","London","G6/G7","LGBO","130","125","60500","60710"
"In post","2021","Attorney General's Departments","London","G6/G7","Undeclared","150","140","60430","60920"
"In post","2021","Attorney General's Departments","London","G6/G7","Unknown","595","540","62960","64680"
"In post","2021","Attorney General's Departments","London","SCS level","Heterosexual / straight","160","155","88440","82470"
"In post","2021","Attorney General's Departments","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","London","SCS level","Unknown","65","60","86340","80950"
"In post","2021","Attorney General's Departments","London","SEO/HEO","Heterosexual / straight","510","500","37410","38290"
"In post","2021","Attorney General's Departments","London","SEO/HEO","LGBO","40","40","38430","39880"
"In post","2021","Attorney General's Departments","London","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","London","SEO/HEO","Unknown","140","135","37570","38290"
"In post","2021","Attorney General's Departments","London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","AA/AO","Heterosexual / straight","800","730","22040","21950"
"In post","2021","Attorney General's Departments","Outside London","AA/AO","LGBO","45","45","21580","21950"
"In post","2021","Attorney General's Departments","Outside London","AA/AO","Undeclared","35","30","21930","21950"
"In post","2021","Attorney General's Departments","Outside London","AA/AO","Unknown","245","215","21850","21950"
"In post","2021","Attorney General's Departments","Outside London","EO","Heterosexual / straight","710","660","27440","27760"
"In post","2021","Attorney General's Departments","Outside London","EO","LGBO","40","40","27660","26970"
"In post","2021","Attorney General's Departments","Outside London","EO","Undeclared","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","EO","Unknown","245","220","28220","28430"
"In post","2021","Attorney General's Departments","Outside London","G6/G7","Heterosexual / straight","1505","1395","55700","55610"
"In post","2021","Attorney General's Departments","Outside London","G6/G7","LGBO","65","60","57730","55610"
"In post","2021","Attorney General's Departments","Outside London","G6/G7","Undeclared","55","50","55220","54770"
"In post","2021","Attorney General's Departments","Outside London","G6/G7","Unknown","590","530","58090","55610"
"In post","2021","Attorney General's Departments","Outside London","SCS level","Heterosexual / straight","40","35","91790","91740"
"In post","2021","Attorney General's Departments","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","SEO/HEO","Heterosexual / straight","585","560","35820","36240"
"In post","2021","Attorney General's Departments","Outside London","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","SEO/HEO","Unknown","110","105","35600","34480"
"In post","2021","Attorney General's Departments","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","AA/AO","Heterosexual / straight","90","85","24460","24490"
"In post","2021","Cabinet Office","London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Cabinet Office","London","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2021","Cabinet Office","London","EO","Heterosexual / straight","385","380","27900","27500"
"In post","2021","Cabinet Office","London","EO","LGBO","45","45","27570","27500"
"In post","2021","Cabinet Office","London","EO","Undeclared","50","50","27980","27500"
"In post","2021","Cabinet Office","London","EO","Unknown","120","120","28260","27500"
"In post","2021","Cabinet Office","London","G6/G7","Heterosexual / straight","1405","1375","59140","56340"
"In post","2021","Cabinet Office","London","G6/G7","LGBO","155","150","58510","56340"
"In post","2021","Cabinet Office","London","G6/G7","Undeclared","175","170","58870","56660"
"In post","2021","Cabinet Office","London","G6/G7","Unknown","635","625","61850","56860"
"In post","2021","Cabinet Office","London","SCS level","Heterosexual / straight","365","360","96460","87730"
"In post","2021","Cabinet Office","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","Cabinet Office","London","SCS level","Undeclared","40","40","94180","89170"
