"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA/AO","AO","110","105","21380","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","EO","85","80","27040","27350"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6/G7","G7","180","160","53350","53350"
"In post","2021","Attorney General's Departments","East Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO/HEO","HEO","45","45","34150","34480"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO/HEO","SEO","10","10","39240","39310"
"In post","2021","Attorney General's Departments","East of England","AA/AO","AO","115","100","22440","23520"
"In post","2021","Attorney General's Departments","East of England","EO","EO","105","95","28640","28430"
"In post","2021","Attorney General's Departments","East of England","G6/G7","G6","10","10","73680","74250"
"In post","2021","Attorney General's Departments","East of England","G6/G7","G7","175","155","57580","58970"
"In post","2021","Attorney General's Departments","East of England","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","SEO/HEO","HEO","60","60","36680","36240"
"In post","2021","Attorney General's Departments","East of England","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","AA/AO","AO","410","380","23270","23520"
"In post","2021","Attorney General's Departments","London","EO","EO","740","705","28640","27760"
"In post","2021","Attorney General's Departments","London","G6/G7","G6","925","855","68600","66610"
"In post","2021","Attorney General's Departments","London","G6/G7","G7","1620","1515","55640","52100"
"In post","2021","Attorney General's Departments","London","SCS level","SCS level","255","245","87160","81420"
"In post","2021","Attorney General's Departments","London","SEO/HEO","HEO","480","465","35930","33930"
"In post","2021","Attorney General's Departments","London","SEO/HEO","SEO","235","230","40650","40000"
"In post","2021","Attorney General's Departments","London","Unknown","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","North East (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","AA/AO","AO","95","80","21890","21950"
"In post","2021","Attorney General's Departments","North East (England)","EO","EO","60","55","27390","28430"
"In post","2021","Attorney General's Departments","North East (England)","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","G6/G7","G7","125","115","53770","55610"
"In post","2021","Attorney General's Departments","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","SEO/HEO","HEO","35","35","34210","33610"
"In post","2021","Attorney General's Departments","North East (England)","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","AA/AO","AO","205","190","21980","21950"
"In post","2021","Attorney General's Departments","North West (England)","EO","EO","215","195","27610","28430"
"In post","2021","Attorney General's Departments","North West (England)","G6/G7","G6","35","35","71250","68290"
"In post","2021","Attorney General's Departments","North West (England)","G6/G7","G7","365","340","54160","55610"
"In post","2021","Attorney General's Departments","North West (England)","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","SEO/HEO","HEO","110","105","34110","33310"
"In post","2021","Attorney General's Departments","North West (England)","SEO/HEO","SEO","30","30","39050","38180"
"In post","2021","Attorney General's Departments","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","AA/AO","AO","145","140","22820","23520"
"In post","2021","Attorney General's Departments","South East (England)","EO","EO","155","145","28650","27760"
"In post","2021","Attorney General's Departments","South East (England)","G6/G7","G6","20","20","76570","74660"
"In post","2021","Attorney General's Departments","South East (England)","G6/G7","G7","270","250","58230","60710"
"In post","2021","Attorney General's Departments","South East (England)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","SEO/HEO","HEO","75","70","36620","36240"
"In post","2021","Attorney General's Departments","South East (England)","SEO/HEO","SEO","15","15","42360","42610"
"In post","2021","Attorney General's Departments","South West (England)","AA/AO","AO","60","55","21750","21950"
"In post","2021","Attorney General's Departments","South West (England)","EO","EO","60","60","26970","26340"
"In post","2021","Attorney General's Departments","South West (England)","G6/G7","G6","10","10","67910","67480"
"In post","2021","Attorney General's Departments","South West (England)","G6/G7","G7","140","130","54320","55610"
"In post","2021","Attorney General's Departments","South West (England)","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","SEO/HEO","HEO","40","40","34600","34480"
"In post","2021","Attorney General's Departments","South West (England)","SEO/HEO","SEO","10","10","39590","39540"
"In post","2021","Attorney General's Departments","Wales","AA/AO","AO","75","70","21970","21950"
"In post","2021","Attorney General's Departments","Wales","EO","EO","55","50","27440","28430"
"In post","2021","Attorney General's Departments","Wales","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","G6/G7","G7","160","145","54140","55610"
"In post","2021","Attorney General's Departments","Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","SEO/HEO","HEO","50","45","34770","34480"
"In post","2021","Attorney General's Departments","Wales","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","AA/AO","AO","125","115","21820","21950"
"In post","2021","Attorney General's Departments","West Midlands (England)","EO","EO","105","100","27170","28430"
"In post","2021","Attorney General's Departments","West Midlands (England)","G6/G7","G6","15","15","75480","70350"
"In post","2021","Attorney General's Departments","West Midlands (England)","G6/G7","G7","225","210","54220","54600"
"In post","2021","Attorney General's Departments","West Midlands (England)","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","SEO/HEO","HEO","65","60","34300","34480"
"In post","2021","Attorney General's Departments","West Midlands (England)","SEO/HEO","SEO","15","10","39090","38180"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","AA/AO","AO","180","160","21730","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","EO","EO","175","160","27110","27350"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","G6/G7","G6","45","45","69380","67520"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","G6/G7","G7","415","375","55460","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","SCS level","SCS level","15","15","88050","84740"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","HEO","110","105","33910","33310"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","SEO","45","45","39390","38180"
"In post","2021","Cabinet Office","East Midlands (England)","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East of England","EO","EO","15","10","24640","23850"
"In post","2021","Cabinet Office","East of England","G6/G7","G6","10","10","71350","68800"
"In post","2021","Cabinet Office","East of England","G6/G7","G7","30","25","52840","51620"
"In post","2021","Cabinet Office","East of England","SCS level","SCS level","15","15","86590","73360"
"In post","2021","Cabinet Office","East of England","SEO/HEO","HEO","30","30","31930","32960"
"In post","2021","Cabinet Office","East of England","SEO/HEO","SEO","10","10","38620","38420"
"In post","2021","Cabinet Office","London","AA/AO","AO","140","135","24470","24490"
"In post","2021","Cabinet Office","London","EO","EO","600","590","27960","27500"
"In post","2021","Cabinet Office","London","G6/G7","G6","640","630","69770","66700"
"In post","2021","Cabinet Office","London","G6/G7","G7","1730","1695","56120","54700"
"In post","2021","Cabinet Office","London","SCS level","SCS level","760","745","94650","80420"
"In post","2021","Cabinet Office","London","SEO/HEO","HEO","2130","2120","32410","32000"
"In post","2021","Cabinet Office","London","SEO/HEO","SEO","500","495","41400","40600"
"In post","2021","Cabinet Office","North East (England)","AA/AO","AO","155","140","20800","20800"
"In post","2021","Cabinet Office","North East (England)","EO","EO","95","90","24800","23850"
"In post","2021","Cabinet Office","North East (England)","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","G6/G7","G7","25","25","51330","51120"
"In post","2021","Cabinet Office","North East (England)","SCS level","SCS level","10","10","70480","69500"
"In post","2021","Cabinet Office","North East (England)","SEO/HEO","HEO","95","95","31740","32000"
"In post","2021","Cabinet Office","North East (England)","SEO/HEO","SEO","25","25","37920","37300"
"In post","2021","Cabinet Office","North West (England)","AA/AO","AO","20","15","21190","21130"
"In post","2021","Cabinet Office","North West (England)","EO","EO","15","15","24760","23850"
"In post","2021","Cabinet Office","North West (England)","G6/G7","G6","55","55","72250","68840"
"In post","2021","Cabinet Office","North West (England)","G6/G7","G7","130","130","51670","50760"
"In post","2021","Cabinet Office","North West (England)","SCS level","SCS level","40","40","80420","71230"
"In post","2021","Cabinet Office","North West (England)","SEO/HEO","HEO","125","120","30910","32000"
"In post","2021","Cabinet Office","North West (England)","SEO/HEO","SEO","70","70","37890","37300"
"In post","2021","Cabinet Office","Northern Ireland","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","G6/G7","G6","10","10","84030","86380"
"In post","2021","Cabinet Office","Scotland","G6/G7","G7","15","15","51910","51550"
"In post","2021","Cabinet Office","Scotland","SCS level","SCS level","15","15","66990","63330"
"In post","2021","Cabinet Office","Scotland","SEO/HEO","HEO","30","30","30110","29250"
"In post","2021","Cabinet Office","Scotland","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","AA/AO","AO","35","30","21010","20920"
"In post","2021","Cabinet Office","South East (England)","EO","EO","15","15","27010","26670"
"In post","2021","Cabinet Office","South East (England)","G6/G7","G6","25","25","77960","74900"
"In post","2021","Cabinet Office","South East (England)","G6/G7","G7","25","25","53470","53320"
"In post","2021","Cabinet Office","South East (England)","SCS level","SCS level","20","20","76030","70360"
"In post","2021","Cabinet Office","South East (England)","SEO/HEO","HEO","90","85","32950","33300"
"In post","2021","Cabinet Office","South East (England)","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","EO","EO","10","5","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","G6/G7","G6","30","30","74410","73310"
"In post","2021","Cabinet Office","South West (England)","G6/G7","G7","45","45","52650","53320"
"In post","2021","Cabinet Office","South West (England)","SCS level","SCS level","30","30","95360","80810"
"In post","2021","Cabinet Office","South West (England)","SEO/HEO","HEO","55","55","31370","32000"
"In post","2021","Cabinet Office","South West (England)","SEO/HEO","SEO","20","20","38820","39490"
