"Status","Year","Disability","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Unknown","Unknown","SEO/HEO","50","50","35390","34290"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Outside London","AA/AO","1420","1205","20870","21010"
"In post","2021","Declared disabled","Wales","Outside London","EO","1015","915","27070","27570"
"In post","2021","Declared disabled","Wales","Outside London","G6/G7","205","195","58620","57280"
"In post","2021","Declared disabled","Wales","Outside London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Wales","Outside London","SEO/HEO","695","650","35940","34970"
"In post","2021","Declared disabled","Wales","Outside London","Unknown","190","180","30000","28470"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","AA/AO","1180","1050","21600","21010"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","EO","1265","1140","27100","27570"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","G6/G7","185","175","56520","52970"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","SEO/HEO","710","670","35650","33840"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","Unknown","250","230","30450","30210"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","AA/AO","1210","1040","21690","21010"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","EO","1295","1155","27040","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","G6/G7","325","305","55840","52750"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","SEO/HEO","890","835","35180","34290"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","Unknown","260","240","30840","30210"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","AA/AO","5075","4580","22130","21010"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","EO","4100","3765","27030","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","G6/G7","1060","1010","57660","53430"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","SCS level","70","70","89950","83850"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","SEO/HEO","3255","3085","36030","34120"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","Unknown","695","640","30290","30210"
"In post","2021","Declared non-disabled","East of England","Outside London","AA/AO","5245","4795","23500","21440"
"In post","2021","Declared non-disabled","East of England","Outside London","EO","5140","4710","28170","27570"
"In post","2021","Declared non-disabled","East of England","Outside London","G6/G7","885","850","59290","55610"
"In post","2021","Declared non-disabled","East of England","Outside London","SCS level","75","75","96330","95620"
"In post","2021","Declared non-disabled","East of England","Outside London","SEO/HEO","3425","3265","36680","35120"
"In post","2021","Declared non-disabled","East of England","Outside London","Unknown","730","675","29260","28200"
"In post","2021","Declared non-disabled","London","London","AA/AO","8115","7495","25430","25110"
"In post","2021","Declared non-disabled","London","London","EO","14450","13645","29950","30130"
"In post","2021","Declared non-disabled","London","London","G6/G7","18825","18165","60660","59150"
"In post","2021","Declared non-disabled","London","London","SCS level","3230","3105","90190","81800"
"In post","2021","Declared non-disabled","London","London","SEO/HEO","21515","20985","38690","37890"
"In post","2021","Declared non-disabled","London","London","Unknown","1155","1110","34280","34100"
"In post","2021","Declared non-disabled","North East (England)","Outside London","AA/AO","8555","7320","21460","21010"
"In post","2021","Declared non-disabled","North East (England)","Outside London","EO","5310","4795","26850","27570"
"In post","2021","Declared non-disabled","North East (England)","Outside London","G6/G7","1525","1480","54880","52580"
"In post","2021","Declared non-disabled","North East (England)","Outside London","SCS level","85","85","87480","78780"
"In post","2021","Declared non-disabled","North East (England)","Outside London","SEO/HEO","4340","4105","34930","33530"
"In post","2021","Declared non-disabled","North East (England)","Outside London","Unknown","505","470","29360","28200"
"In post","2021","Declared non-disabled","North West (England)","Outside London","AA/AO","13650","12110","21440","21010"
"In post","2021","Declared non-disabled","North West (England)","Outside London","EO","12800","11780","26800","27570"
"In post","2021","Declared non-disabled","North West (England)","Outside London","G6/G7","3235","3125","56730","52920"
"In post","2021","Declared non-disabled","North West (England)","Outside London","SCS level","195","190","87900","82050"
"In post","2021","Declared non-disabled","North West (England)","Outside London","SEO/HEO","8910","8490","35210","33570"
"In post","2021","Declared non-disabled","North West (England)","Outside London","Unknown","1480","1385","31030","30210"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","AA/AO","960","890","20850","20310"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","EO","600","560","26470","25560"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","G6/G7","175","170","56070","52580"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","SEO/HEO","575","555","34690","31940"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Overseas","AA/AO","45","45","22470","22750"
"In post","2021","Declared non-disabled","Overseas","Overseas","EO","210","210","27760","27130"
"In post","2021","Declared non-disabled","Overseas","Overseas","G6/G7","880","875","59790","57790"
"In post","2021","Declared non-disabled","Overseas","Overseas","SCS level","210","210","86750","78510"
"In post","2021","Declared non-disabled","Overseas","Overseas","SEO/HEO","1010","1005","38740","34770"
"In post","2021","Declared non-disabled","Overseas","Overseas","Unknown","215","210","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Outside London","AA/AO","8900","7990","21880","21010"
"In post","2021","Declared non-disabled","Scotland","Outside London","EO","7580","6975","27380","27570"
"In post","2021","Declared non-disabled","Scotland","Outside London","G6/G7","2875","2760","60970","61010"
"In post","2021","Declared non-disabled","Scotland","Outside London","SCS level","225","220","88780","83230"
"In post","2021","Declared non-disabled","Scotland","Outside London","SEO/HEO","7305","7000","37790","35110"
"In post","2021","Declared non-disabled","Scotland","Outside London","Unknown","80","80","39710","41960"
"In post","2021","Declared non-disabled","South East (England)","Outside London","AA/AO","8870","8130","24010","21580"
"In post","2021","Declared non-disabled","South East (England)","Outside London","EO","9020","8325","27970","27570"
"In post","2021","Declared non-disabled","South East (England)","Outside London","G6/G7","2275","2165","57580","54990"
"In post","2021","Declared non-disabled","South East (England)","Outside London","SCS level","125","125","90240","86600"
"In post","2021","Declared non-disabled","South East (England)","Outside London","SEO/HEO","6595","6315","36760","35510"
"In post","2021","Declared non-disabled","South East (England)","Outside London","Unknown","1050","960","30810","30850"
"In post","2021","Declared non-disabled","South West (England)","Outside London","AA/AO","6165","5615","22080","21010"
"In post","2021","Declared non-disabled","South West (England)","Outside London","EO","7385","6800","26390","27130"
"In post","2021","Declared non-disabled","South West (England)","Outside London","G6/G7","4485","4305","56010","54540"
"In post","2021","Declared non-disabled","South West (England)","Outside London","SCS level","240","235","95810","90530"
"In post","2021","Declared non-disabled","South West (England)","Outside London","SEO/HEO","11610","11095","36240","35630"
"In post","2021","Declared non-disabled","South West (England)","Outside London","Unknown","1785","1690","37260","33360"
"In post","2021","Declared non-disabled","Unknown","Unknown","AA/AO","175","155","22340","21010"
"In post","2021","Declared non-disabled","Unknown","Unknown","EO","410","380","28090","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","G6/G7","125","120","55660","54700"
"In post","2021","Declared non-disabled","Unknown","Unknown","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Unknown","SEO/HEO","245","235","36550","34640"
"In post","2021","Declared non-disabled","Unknown","Unknown","Unknown","55","55","28500","27370"
"In post","2021","Declared non-disabled","Wales","Outside London","AA/AO","8420","7425","21300","21130"
"In post","2021","Declared non-disabled","Wales","Outside London","EO","6575","6075","27130","27570"
"In post","2021","Declared non-disabled","Wales","Outside London","G6/G7","2445","2345","59060","59620"
"In post","2021","Declared non-disabled","Wales","Outside London","SCS level","245","240","86840","78730"
"In post","2021","Declared non-disabled","Wales","Outside London","SEO/HEO","6530","6210","37440","37410"
"In post","2021","Declared non-disabled","Wales","Outside London","Unknown","770","720","30250","30210"
"In post","2021","Declared non-disabled","West Midlands (England)","Outside London","AA/AO","6775","6085","21760","21010"
"In post","2021","Declared non-disabled","West Midlands (England)","Outside London","EO","6510","5965","26980","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","Outside London","G6/G7","1635","1585","57120","52790"
"In post","2021","Declared non-disabled","West Midlands (England)","Outside London","SCS level","150","140","93720","86040"
"In post","2021","Declared non-disabled","West Midlands (England)","Outside London","SEO/HEO","4715","4505","35970","34290"
"In post","2021","Declared non-disabled","West Midlands (England)","Outside London","Unknown","1035","955","29760","28200"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Outside London","AA/AO","7590","6760","22450","21010"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Outside London","EO","7340","6700","27120","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Outside London","G6/G7","2775","2655","56560","53340"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Outside London","SCS level","170","160","86740","78520"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Outside London","SEO/HEO","6165","5840","35360","34290"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Outside London","Unknown","955","865","29840","30210"
"In post","2021","Undeclared","East Midlands (England)","Outside London","AA/AO","620","555","23800","21130"
"In post","2021","Undeclared","East Midlands (England)","Outside London","EO","415","390","28130","27570"
"In post","2021","Undeclared","East Midlands (England)","Outside London","G6/G7","55","50","56300","52580"
"In post","2021","Undeclared","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Outside London","SEO/HEO","350","335","36650","35310"
"In post","2021","Undeclared","East Midlands (England)","Outside London","Unknown","55","50","29640","30810"
"In post","2021","Undeclared","East of England","Outside London","AA/AO","690","625","25520","23240"
"In post","2021","Undeclared","East of England","Outside London","EO","495","465","28830","27570"
"In post","2021","Undeclared","East of England","Outside London","G6/G7","80","75","59130","56030"
"In post","2021","Undeclared","East of England","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Undeclared","East of England","Outside London","SEO/HEO","415","400","37560","36310"
"In post","2021","Undeclared","East of England","Outside London","Unknown","45","40","29220","30210"
"In post","2021","Undeclared","London","London","AA/AO","1040","950","27450","25630"
"In post","2021","Undeclared","London","London","EO","1200","1150","30320","30370"
"In post","2021","Undeclared","London","London","G6/G7","1490","1450","60610","59160"
"In post","2021","Undeclared","London","London","SCS level","215","205","88650","80990"
"In post","2021","Undeclared","London","London","SEO/HEO","2065","2015","38760","37640"
"In post","2021","Undeclared","London","London","Unknown","85","80","33810","32690"
"In post","2021","Undeclared","North East (England)","Outside London","AA/AO","845","740","23860","21440"
"In post","2021","Undeclared","North East (England)","Outside London","EO","420","395","27770","27570"
"In post","2021","Undeclared","North East (England)","Outside London","G6/G7","100","95","55580","52580"
"In post","2021","Undeclared","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","North East (England)","Outside London","SEO/HEO","360","345","35620","33840"
"In post","2021","Undeclared","North East (England)","Outside London","Unknown","35","30","30880","33030"
"In post","2021","Undeclared","North West (England)","Outside London","AA/AO","1475","1320","23720","21430"
"In post","2021","Undeclared","North West (England)","Outside London","EO","925","860","27730","27570"
"In post","2021","Undeclared","North West (England)","Outside London","G6/G7","210","200","55930","53150"
"In post","2021","Undeclared","North West (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Undeclared","North West (England)","Outside London","SEO/HEO","740","705","36110","34290"
"In post","2021","Undeclared","North West (England)","Outside London","Unknown","95","90","30730","31420"
"In post","2021","Undeclared","Northern Ireland","Outside London","AA/AO","80","75","20850","20310"
"In post","2021","Undeclared","Northern Ireland","Outside London","EO","50","50","26840","26690"
"In post","2021","Undeclared","Northern Ireland","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland","Outside London","SEO/HEO","70","65","34540","33950"
"In post","2021","Undeclared","Overseas","Overseas","EO","15","15","[c]","[c]"
"In post","2021","Undeclared","Overseas","Overseas","G6/G7","50","50","60290","57400"
"In post","2021","Undeclared","Overseas","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","Undeclared","Overseas","Overseas","SEO/HEO","65","65","36700","34620"
"In post","2021","Undeclared","Overseas","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","Undeclared","Scotland","Outside London","AA/AO","530","480","21710","21010"
"In post","2021","Undeclared","Scotland","Outside London","EO","420","390","27620","27570"
"In post","2021","Undeclared","Scotland","Outside London","G6/G7","110","105","62360","61010"
"In post","2021","Undeclared","Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland","Outside London","SEO/HEO","365","345","37810","34980"
"In post","2021","Undeclared","Scotland","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","South East (England)","Outside London","AA/AO","1290","1165","25850","23270"
"In post","2021","Undeclared","South East (England)","Outside London","EO","915","855","28980","27570"
"In post","2021","Undeclared","South East (England)","Outside London","G6/G7","260","250","55120","53250"
"In post","2021","Undeclared","South East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","South East (England)","Outside London","SEO/HEO","815","790","37680","36970"
"In post","2021","Undeclared","South East (England)","Outside London","Unknown","80","75","32270","31980"
"In post","2021","Undeclared","South West (England)","Outside London","AA/AO","635","580","23700","21130"
"In post","2021","Undeclared","South West (England)","Outside London","EO","590","555","27120","27380"
"In post","2021","Undeclared","South West (England)","Outside London","G6/G7","400","385","55830","54540"
"In post","2021","Undeclared","South West (England)","Outside London","SCS level","15","15","[c]","[c]"
"In post","2021","Undeclared","South West (England)","Outside London","SEO/HEO","1040","995","37020","37320"
"In post","2021","Undeclared","South West (England)","Outside London","Unknown","135","135","40700","39200"
"In post","2021","Undeclared","Unknown","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","EO","20","20","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","Wales","Outside London","AA/AO","765","660","22010","21590"
"In post","2021","Undeclared","Wales","Outside London","EO","525","495","27820","27570"
"In post","2021","Undeclared","Wales","Outside London","G6/G7","115","110","59420","59020"
"In post","2021","Undeclared","Wales","Outside London","SCS level","10","5","[c]","[c]"
"In post","2021","Undeclared","Wales","Outside London","SEO/HEO","480","460","37550","37410"
"In post","2021","Undeclared","Wales","Outside London","Unknown","35","35","28640","26310"
"In post","2021","Undeclared","West Midlands (England)","Outside London","AA/AO","755","680","23660","21110"
"In post","2021","Undeclared","West Midlands (England)","Outside London","EO","575","540","27620","27570"
"In post","2021","Undeclared","West Midlands (England)","Outside London","G6/G7","130","125","56830","52930"
"In post","2021","Undeclared","West Midlands (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Undeclared","West Midlands (England)","Outside London","SEO/HEO","420","400","36380","35480"
"In post","2021","Undeclared","West Midlands (England)","Outside London","Unknown","60","55","29730","28200"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","AA/AO","855","765","24850","21550"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","EO","620","580","28470","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","G6/G7","145","140","56280","52580"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","SEO/HEO","595","570","36610","36460"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","Unknown","55","50","31430","34340"
"In post","2021","Unknown","East Midlands (England)","Outside London","AA/AO","1345","1260","21370","20600"
"In post","2021","Unknown","East Midlands (England)","Outside London","EO","710","680","26570","25560"
"In post","2021","Unknown","East Midlands (England)","Outside London","G6/G7","185","175","56810","52580"
