"Status","Year","Profession_of_post","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","150","145","23370","23000"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","60","60","70340","69530"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","150","145","53930","54270"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","350","335","31480","32600"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","20","15","107290","103620"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","295","280","40780","40980"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","130","130","38520","36040"
"In post","2021","Commercial","Bedford","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","SEO","10","10","39960","39760"
"In post","2021","Commercial","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","EO","15","15","26740","26350"
"In post","2021","Commercial","Birmingham","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","SEO","25","25","41250","40980"
"In post","2021","Commercial","Birmingham","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Blackpool","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Outside London","SEO","[c]","[c]","[c]","[c]"
