"Status","Year","Profession_of_post","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Brighton and Hove","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Outside London","G7","10","10","51590","51030"
"In post","2021","Commercial","Bristol, City of","Outside London","HEO","15","15","31520","31040"
"In post","2021","Commercial","Bristol, City of","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Outside London","SEO","35","35","40310","39980"
"In post","2021","Commercial","Bristol, City of","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","EO","10","10","26790","27030"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","HEO","15","15","35540","35300"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","SEO","20","20","42860","42000"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","EO","10","10","26620","26670"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","HEO","20","20","34050","34370"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","SEO","20","20","43240","42080"
"In post","2021","Commercial","Camden and City of London","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","SEO","15","15","42140","41150"
"In post","2021","Commercial","Central Bedfordshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Outside London","EO","35","35","26100","26670"
"In post","2021","Commercial","Central Hampshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Outside London","HEO","40","40","33260","33460"
"In post","2021","Commercial","Central Hampshire","Outside London","SEO","50","50","41070","42080"
"In post","2021","Commercial","Central Hampshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Valleys","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","AA","10","5","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","HEO","10","10","36300","36780"
"In post","2021","Commercial","City of Edinburgh","Outside London","SEO","10","10","44960","45220"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Conwy and Denbighshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","HEO","10","10","30930","30090"
"In post","2021","Commercial","Coventry","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","SEO","30","30","39150","38280"
"In post","2021","Commercial","Croydon","London","AO","15","15","24980","24440"
"In post","2021","Commercial","Croydon","London","EO","20","20","30450","30110"
"In post","2021","Commercial","Croydon","London","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Croydon","London","G7","15","15","65640","67890"
"In post","2021","Commercial","Croydon","London","HEO","30","30","36540","35610"
"In post","2021","Commercial","Croydon","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Croydon","London","SEO","60","60","46960","46600"
"In post","2021","Commercial","Darlington","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Darlington","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Darlington","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Darlington","Outside London","G7","10","10","51680","50520"
"In post","2021","Commercial","Darlington","Outside London","HEO","15","15","30180","30090"
"In post","2021","Commercial","Darlington","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Darlington","Outside London","SEO","15","15","38520","37100"
"In post","2021","Commercial","Derby","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Outside London","EO","15","10","25370","25630"
"In post","2021","Commercial","Devon CC","Outside London","G6","25","25","61020","60490"
"In post","2021","Commercial","Devon CC","Outside London","G7","65","65","48130","47960"
"In post","2021","Commercial","Devon CC","Outside London","HEO","40","35","32550","32730"
"In post","2021","Commercial","Devon CC","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Outside London","SEO","55","50","39650","38300"
"In post","2021","Commercial","Dorset CC","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset CC","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset CC","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset CC","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dudley","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","SEO","15","15","45300","42910"
"In post","2021","Commercial","East Cumbria","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","East Kent","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","East Surrey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Outside London","EO","15","15","27860","27460"
"In post","2021","Commercial","Flintshire and Wrexham","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Outside London","EO","20","20","27270","26670"
"In post","2021","Commercial","Glasgow City","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Outside London","HEO","35","35","34560","34610"
"In post","2021","Commercial","Glasgow City","Outside London","SEO","20","20","41660","42080"
"In post","2021","Commercial","Glasgow City","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Outside London","EO","10","10","26720","26980"
"In post","2021","Commercial","Greater Manchester South West","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Outside London","HEO","15","15","32130","31810"
"In post","2021","Commercial","Greater Manchester South West","Outside London","SEO","30","30","41060","38630"
"In post","2021","Commercial","Greater Manchester South West","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hackney and Newham","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","AO","20","20","22620","22120"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","HEO","10","5","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Lancaster and Wyre","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Outside London","EO","10","10","23430","23350"
"In post","2021","Commercial","Leeds","Outside London","G6","15","15","67070","64540"
"In post","2021","Commercial","Leeds","Outside London","G7","30","25","52200","50830"
"In post","2021","Commercial","Leeds","Outside London","HEO","50","50","29000","28970"
"In post","2021","Commercial","Leeds","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Leeds","Outside London","SEO","70","70","38880","36960"
"In post","2021","Commercial","Leeds","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicester","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicester","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicester","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicester","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Leicester","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Lisburn and Castlereagh","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lisburn and Castlereagh","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lisburn and Castlereagh","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","Outside London","EO","30","25","23240","22240"
"In post","2021","Commercial","Liverpool","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","Outside London","G7","25","25","48240","46920"
"In post","2021","Commercial","Liverpool","Outside London","HEO","55","55","28010","27770"
"In post","2021","Commercial","Liverpool","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","Outside London","SEO","85","80","36720","35420"
"In post","2021","Commercial","Luton","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Outside London","EO","20","20","25830","25310"
"In post","2021","Commercial","Manchester","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Commercial","Manchester","Outside London","G7","25","20","51460","50130"
"In post","2021","Commercial","Manchester","Outside London","HEO","30","25","30880","30090"
"In post","2021","Commercial","Manchester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Outside London","SEO","60","55","39330","37100"
"In post","2021","Commercial","Medway","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medway","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medway","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Kent","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Lancashire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Lancashire","Outside London","HEO","[c]","[c]","[c]","[c]"
