"Status","Year","Age","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Devon","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Heterosexual / straight","15","15","[c]","[c]"
