"Status","Year","Disability","Function_of_post","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Inner London - West","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Inner London - East","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - West","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Inner London - West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","South Yorkshire","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","East Anglia","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Inner London - West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Inner London - West","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","West Yorkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","Inner London - West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","ESTYN","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Food Standards Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Food Standards Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Food Standards Agency","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Inner London - West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Land Registry","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Land Registry","Devon","[c]","[c]","[c]","[c]"
