"Status","Year","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Female","925","845","32400","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","Male","940","910","39900","33650"
"In post","2021","Angus and Dundee City","Outside London","Female","1160","1035","26520","22230"
"In post","2021","Angus and Dundee City","Outside London","Male","740","715","25790","21150"
"In post","2021","Antrim and Newtownabbey","Outside London","Female","60","55","26650","21670"
"In post","2021","Antrim and Newtownabbey","Outside London","Male","140","140","23700","20310"
"In post","2021","Ards and North Down","Outside London","Female","55","50","28760","22330"
"In post","2021","Ards and North Down","Outside London","Male","170","170","24940","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Female","390","345","30120","31060"
"In post","2021","Barking & Dagenham and Havering","London","Male","210","205","31100","31060"
"In post","2021","Barnet","London","Female","1065","980","38310","32330"
"In post","2021","Barnet","London","Male","615","600","42610","38520"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","Female","1840","1575","26140","26120"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","Male","1155","1100","28800","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","5370","4980","34700","32660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","7985","7850","39800","37990"
"In post","2021","Bedford","Outside London","Female","465","420","28930","27570"
"In post","2021","Bedford","Outside London","Male","370","365","31830","30060"
"In post","2021","Belfast","Outside London","Female","1435","1290","28780","25560"
"In post","2021","Belfast","Outside London","Male","1380","1335","29010","25560"
"In post","2021","Berkshire","Outside London","Female","1365","1260","32720","29290"
"In post","2021","Berkshire","Outside London","Male","1590","1560","35820","33170"
"In post","2021","Bexley and Greenwich","London","Female","920","865","30500","31060"
"In post","2021","Bexley and Greenwich","London","Male","845","820","33250","33180"
"In post","2021","Birmingham","Outside London","Female","6600","5945","30240","27570"
"In post","2021","Birmingham","Outside London","Male","5000","4850","32400","27570"
"In post","2021","Blackburn with Darwen","Outside London","Female","295","250","26530","27570"
"In post","2021","Blackburn with Darwen","Outside London","Male","200","190","27180","27570"
"In post","2021","Blackpool","Outside London","Female","3215","2840","28370","27570"
"In post","2021","Blackpool","Outside London","Male","1925","1860","30190","27570"
"In post","2021","Bournemouth and Poole","Outside London","Female","415","355","27030","27570"
"In post","2021","Bournemouth and Poole","Outside London","Male","300","285","26620","27290"
"In post","2021","Bradford","Outside London","Female","1860","1570","26880","25560"
"In post","2021","Bradford","Outside London","Male","1245","1175","27660","25560"
"In post","2021","Breckland and South Norfolk","Outside London","Female","220","205","27910","26300"
"In post","2021","Breckland and South Norfolk","Outside London","Male","305","295","29020","26810"
"In post","2021","Brent","London","Female","400","360","30470","31050"
"In post","2021","Brent","London","Male","205","200","33300","31060"
"In post","2021","Bridgend and Neath Port Talbot","Outside London","Female","495","430","26480","27570"
"In post","2021","Bridgend and Neath Port Talbot","Outside London","Male","215","205","28560","27570"
"In post","2021","Brighton and Hove","Outside London","Female","420","370","30640","27570"
"In post","2021","Brighton and Hove","Outside London","Male","235","220","30520","27570"
"In post","2021","Bristol, City of","Outside London","Female","3525","3170","34380","29870"
"In post","2021","Bristol, City of","Outside London","Male","3085","2965","37550","31860"
"In post","2021","Bromley","London","Female","330","295","29460","31060"
"In post","2021","Bromley","London","Male","130","125","29250","31060"
"In post","2021","Buckinghamshire CC","Outside London","Female","980","915","31030","28670"
"In post","2021","Buckinghamshire CC","Outside London","Male","700","685","33710","31810"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Outside London","Female","110","100","27650","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Outside London","Male","105","100","31100","29190"
"In post","2021","Calderdale and Kirklees","Outside London","Female","695","590","26790","27570"
"In post","2021","Calderdale and Kirklees","Outside London","Male","360","350","27480","27570"
"In post","2021","Cambridgeshire CC","Outside London","Female","1620","1500","32990","29180"
"In post","2021","Cambridgeshire CC","Outside London","Male","1760","1700","34900","31650"
"In post","2021","Camden and City of London","London","Female","1780","1665","35800","30920"
"In post","2021","Camden and City of London","London","Male","1860","1820","40630","36160"
"In post","2021","Cardiff and Vale of Glamorgan","Outside London","Female","6510","5885","32300","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Outside London","Male","5555","5380","33710","28850"
"In post","2021","Causeway Coast and Glens","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Outside London","Male","60","60","20740","20310"
"In post","2021","Central Bedfordshire","Outside London","Female","185","175","28630","26670"
"In post","2021","Central Bedfordshire","Outside London","Male","245","240","31440","29750"
"In post","2021","Central Hampshire","Outside London","Female","1865","1765","33500","33000"
"In post","2021","Central Hampshire","Outside London","Male","2320","2275","38340","37320"
"In post","2021","Central Valleys","Outside London","Female","1130","1030","32770","28850"
"In post","2021","Central Valleys","Outside London","Male","580","560","38080","31700"
"In post","2021","Cheshire East","Outside London","Female","470","430","29740","27570"
"In post","2021","Cheshire East","Outside London","Male","285","275","30540","27570"
"In post","2021","Cheshire West and Chester","Outside London","Female","285","260","26370","27570"
"In post","2021","Cheshire West and Chester","Outside London","Male","170","165","25600","23840"
"In post","2021","Chorley and West Lancashire","Outside London","Female","630","580","28710","27380"
"In post","2021","Chorley and West Lancashire","Outside London","Male","700","650","30590","28830"
"In post","2021","City of Edinburgh","Outside London","Female","6750","6305","37110","31810"
"In post","2021","City of Edinburgh","Outside London","Male","6050","5895","37710","33620"
"In post","2021","Clackmannanshire and Fife","Outside London","Female","680","610","27840","27570"
"In post","2021","Clackmannanshire and Fife","Outside London","Male","670","640","32110","33300"
"In post","2021","Conwy and Denbighshire","Outside London","Female","450","415","34420","30210"
"In post","2021","Conwy and Denbighshire","Outside London","Male","235","225","36310","30600"
"In post","2021","Cornwall and Isles of Scilly","Outside London","Female","920","795","26230","26590"
"In post","2021","Cornwall and Isles of Scilly","Outside London","Male","730","700","27040","26670"
"In post","2021","Coventry","Outside London","Female","1460","1350","35630","31000"
"In post","2021","Coventry","Outside London","Male","965","945","38730","36430"
"In post","2021","Croydon","London","Female","5350","4950","36810","32090"
"In post","2021","Croydon","London","Male","4275","4185","40290","36160"
"In post","2021","Darlington","Outside London","Female","600","550","34360","30200"
"In post","2021","Darlington","Outside London","Male","380","375","37750","36500"
"In post","2021","Derby","Outside London","Female","645","545","24990","21530"
