"Status","Year","Function_of_post","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","45","40","40880","40000"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Heterosexual / straight","110","105","40500","39070"
"In post","2021","Analysis","Bristol, City of","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Heterosexual / straight","145","135","70310","65470"
"In post","2021","Analysis","Camden and City of London","LGBO","5","5","[c]","[c]"
